# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.2665,0.1746,2.237,0.005,0.378
0.3,0.03,0.0505,0.2627,0.1758,2.237,0.005,0.374
0.6,0.07,0.0989,0.2586,0.1768,2.237,0.005,0.365
0.9,0.10,0.1451,0.2541,0.1775,2.237,0.005,0.360
1.1,0.14,0.1893,0.2490,0.1779,2.237,0.005,0.351
1.4,0.17,0.2313,0.2435,0.1779,2.237,0.005,0.347
1.7,0.20,0.2714,0.2374,0.1774,2.237,0.005,0.338
2.0,0.24,0.3095,0.2308,0.1764,2.237,0.005,0.329
2.3,0.27,0.3456,0.2235,0.1749,2.237,0.005,0.316
2.6,0.30,0.3797,0.2157,0.1728,2.237,0.005,0.307
2.9,0.34,0.4117,0.2074,0.1703,2.237,0.005,0.294
3.1,0.37,0.4415,0.1986,0.1672,2.237,0.005,0.280
3.4,0.41,0.4689,0.1893,0.1637,2.237,0.005,0.267
3.7,0.44,0.4938,0.1795,0.1597,2.237,0.005,0.254
4.0,0.47,0.5159,0.1694,0.1554,2.237,0.004,0.240
4.3,0.51,0.5349,0.1589,0.1506,1.491,0.004,0.227
4.6,0.54,0.5504,0.1480,0.1454,1.491,0.004,0.209
4.9,0.57,0.5619,0.1367,0.1398,1.491,0.004,0.196
5.1,0.61,0.5687,0.1251,0.1338,1.491,0.004,0.178
5.4,0.64,0.5702,0.1132,0.1275,1.491,0.004,0.160
5.7,0.68,0.5652,0.1010,0.1208,1.491,0.004,0.142
6.0,0.71,0.5526,0.0886,0.1138,1.491,0.003,0.125
6.3,0.74,0.5306,0.0760,0.1065,1.491,0.003,0.107
6.6,0.78,0.4970,0.0632,0.0988,1.491,0.003,0.089
6.9,0.81,0.4486,0.0502,0.0908,0.746,0.003,0.071
7.2,0.84,0.3811,0.0372,0.0826,0.746,0.002,0.053
7.4,0.88,0.2880,0.0243,0.0741,0.746,0.002,0.036
7.7,0.91,0.1593,0.0114,0.0655,0.746,0.002,0.018
8.0,0.95,-0.0244,-0.0015,0.0565,0.746,0.002,0.000
