# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.2811,0.1642,1320.634,0.360,30.510
2.4,0.03,0.0553,0.2778,0.1661,1334.803,0.364,30.154
4.9,0.07,0.1080,0.2742,0.1677,1348.225,0.368,29.754
7.3,0.10,0.1583,0.2700,0.1690,1359.411,0.371,29.309
9.8,0.13,0.2063,0.2654,0.1701,1367.614,0.373,28.811
12.2,0.17,0.2519,0.2603,0.1707,1372.088,0.374,28.251
14.7,0.20,0.2954,0.2546,0.1708,1373.579,0.375,27.632
17.1,0.23,0.3368,0.2483,0.1704,1370.596,0.374,26.943
19.6,0.26,0.3763,0.2413,0.1695,1362.394,0.372,26.187
22.0,0.30,0.4139,0.2337,0.1679,1349.717,0.368,25.359
24.5,0.33,0.4497,0.2254,0.1656,1331.820,0.363,24.470
26.9,0.36,0.4837,0.2167,0.1628,1308.703,0.357,23.513
29.4,0.40,0.5159,0.2074,0.1593,1281.112,0.350,22.508
31.8,0.43,0.5463,0.1976,0.1553,1249.047,0.341,21.445
34.3,0.46,0.5748,0.1874,0.1508,1212.508,0.331,20.337
36.7,0.50,0.6013,0.1768,0.1457,1171.494,0.320,19.185
39.2,0.53,0.6255,0.1657,0.1401,1126.007,0.307,17.989
41.6,0.56,0.6474,0.1544,0.1339,1076.791,0.294,16.756
44.1,0.59,0.6666,0.1427,0.1273,1023.100,0.279,15.484
46.5,0.63,0.6826,0.1306,0.1201,965.681,0.263,14.176
49.0,0.66,0.6949,0.1183,0.1125,904.534,0.247,12.838
51.4,0.69,0.7027,0.1057,0.1044,838.912,0.229,11.472
53.8,0.73,0.7048,0.0929,0.0958,770.308,0.210,10.080
56.3,0.76,0.6996,0.0799,0.0867,697.229,0.190,8.670
58.7,0.79,0.6843,0.0667,0.0773,621.168,0.170,7.242
61.2,0.83,0.6547,0.0535,0.0675,542.124,0.148,5.805
63.6,0.86,0.6032,0.0402,0.0573,460.843,0.126,4.368
66.1,0.89,0.5152,0.0271,0.0469,376.578,0.103,2.936
68.5,0.93,0.3576,0.0140,0.0362,290.823,0.079,1.517
71.0,0.96,0.0201,0.0005,0.0248,199.848,0.054,0.058
