# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.2768,0.1610,736.006,0.242,20.622
2.0,0.03,0.0555,0.2733,0.1627,744.208,0.245,20.368
4.1,0.07,0.1084,0.2696,0.1642,750.920,0.247,20.084
6.1,0.10,0.1589,0.2653,0.1654,756.885,0.249,19.768
8.1,0.13,0.2069,0.2606,0.1663,760.614,0.250,19.421
10.1,0.17,0.2527,0.2554,0.1668,762.851,0.251,19.029
12.2,0.20,0.2963,0.2496,0.1669,763.597,0.251,18.602
14.2,0.23,0.3377,0.2433,0.1664,761.360,0.251,18.127
16.2,0.26,0.3772,0.2363,0.1654,756.885,0.249,17.606
18.2,0.30,0.4148,0.2287,0.1638,749.428,0.247,17.041
20.3,0.33,0.4505,0.2206,0.1616,738.989,0.243,16.432
22.3,0.36,0.4843,0.2119,0.1589,726.312,0.239,15.787
24.3,0.40,0.5163,0.2027,0.1555,711.398,0.234,15.102
26.3,0.43,0.5463,0.1931,0.1517,693.501,0.228,14.386
28.4,0.46,0.5743,0.1830,0.1473,673.367,0.222,13.638
30.4,0.50,0.6002,0.1726,0.1424,650.996,0.214,12.860
32.4,0.53,0.6237,0.1618,0.1370,626.388,0.206,12.055
34.4,0.56,0.6447,0.1506,0.1311,599.543,0.197,11.223
36.5,0.59,0.6629,0.1392,0.1248,570.460,0.188,10.369
38.5,0.63,0.6777,0.1274,0.1179,539.141,0.178,9.493
40.5,0.66,0.6886,0.1153,0.1106,505.585,0.167,8.594
42.6,0.69,0.6947,0.1030,0.1028,470.537,0.155,7.678
44.6,0.73,0.6949,0.0905,0.0946,432.506,0.142,6.744
46.6,0.76,0.6873,0.0778,0.0860,392.984,0.129,5.796
48.6,0.79,0.6694,0.0650,0.0769,351.970,0.116,4.844
50.7,0.83,0.6369,0.0521,0.0675,308.720,0.102,3.883
52.7,0.86,0.5825,0.0392,0.0577,263.978,0.087,2.918
54.7,0.89,0.4924,0.0264,0.0477,218.490,0.072,1.966
56.7,0.92,0.3368,0.0136,0.0374,171.511,0.056,1.014
58.8,0.96,0.0225,0.0006,0.0266,121.549,0.040,0.044
