# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.2708,0.1594,146.903,0.082,6.935
1.2,0.03,0.0561,0.2672,0.1610,148.394,0.083,6.841
2.4,0.07,0.1096,0.2631,0.1623,149.886,0.084,6.739
3.6,0.10,0.1606,0.2587,0.1634,150.631,0.085,6.623
4.9,0.14,0.2091,0.2537,0.1641,151.377,0.085,6.494
6.1,0.17,0.2552,0.2482,0.1644,151.377,0.085,6.357
7.3,0.20,0.2990,0.2421,0.1643,151.377,0.085,6.201
8.5,0.24,0.3406,0.2355,0.1636,150.631,0.085,6.032
9.7,0.27,0.3802,0.2283,0.1624,149.886,0.084,5.845
10.9,0.30,0.4176,0.2204,0.1606,147.649,0.083,5.645
12.2,0.34,0.4530,0.2120,0.1582,146.157,0.082,5.431
13.4,0.37,0.4863,0.2031,0.1553,143.174,0.080,5.200
14.6,0.41,0.5175,0.1938,0.1519,140.192,0.079,4.960
15.8,0.44,0.5465,0.1840,0.1480,136.463,0.077,4.711
17.0,0.47,0.5731,0.1738,0.1435,131.989,0.074,4.448
18.2,0.51,0.5971,0.1632,0.1386,127.515,0.072,4.177
19.5,0.54,0.6183,0.1523,0.1332,123.040,0.069,3.897
20.7,0.57,0.6364,0.1410,0.1273,117.075,0.066,3.608
21.9,0.61,0.6508,0.1294,0.1210,111.109,0.063,3.314
23.1,0.64,0.6609,0.1175,0.1142,105.144,0.059,3.007
24.3,0.68,0.6660,0.1053,0.1069,98.432,0.055,2.696
25.5,0.71,0.6649,0.0929,0.0992,91.721,0.051,2.380
26.8,0.74,0.6558,0.0804,0.0911,84.264,0.047,2.060
28.0,0.78,0.6364,0.0676,0.0826,76.061,0.043,1.730
29.2,0.81,0.6030,0.0548,0.0737,67.859,0.038,1.401
30.4,0.85,0.5495,0.0419,0.0645,59.656,0.033,1.072
31.6,0.88,0.4658,0.0291,0.0550,50.708,0.028,0.747
32.8,0.91,0.3321,0.0165,0.0452,41.759,0.023,0.423
34.1,0.95,0.1016,0.0038,0.0351,32.065,0.018,0.098
