# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.2761,0.1606,661.436,0.226,19.181
2.0,0.03,0.0573,0.2726,0.1623,668.147,0.228,18.936
4.0,0.07,0.1119,0.2686,0.1639,674.858,0.230,18.660
6.1,0.10,0.1638,0.2642,0.1651,679.333,0.232,18.353
8.1,0.14,0.2132,0.2593,0.1660,683.061,0.233,18.011
10.1,0.17,0.2602,0.2538,0.1664,685.298,0.234,17.628
12.1,0.20,0.3048,0.2477,0.1664,684.552,0.234,17.206
14.2,0.24,0.3472,0.2410,0.1658,682.315,0.233,16.739
16.2,0.27,0.3875,0.2336,0.1646,677.095,0.231,16.227
18.2,0.31,0.4257,0.2256,0.1627,669.638,0.228,15.671
20.2,0.34,0.4620,0.2170,0.1603,659.944,0.225,15.075
22.2,0.38,0.4962,0.2079,0.1572,647.267,0.221,14.439
24.3,0.41,0.5284,0.1982,0.1536,632.353,0.216,13.767
26.3,0.44,0.5585,0.1881,0.1494,615.202,0.210,13.064
28.3,0.48,0.5864,0.1776,0.1446,595.068,0.203,12.335
30.3,0.51,0.6119,0.1666,0.1394,573.443,0.196,11.574
32.4,0.55,0.6348,0.1553,0.1336,549.581,0.188,10.787
34.4,0.58,0.6547,0.1436,0.1272,523.481,0.179,9.973
36.4,0.61,0.6713,0.1316,0.1204,495.890,0.169,9.141
38.4,0.65,0.6839,0.1193,0.1131,465.317,0.159,8.283
40.4,0.68,0.6917,0.1067,0.1052,433.252,0.148,7.411
42.5,0.72,0.6936,0.0938,0.0969,398.949,0.136,6.517
44.5,0.75,0.6879,0.0808,0.0882,363.156,0.124,5.614
46.5,0.78,0.6718,0.0676,0.0790,325.125,0.111,4.697
48.5,0.82,0.6413,0.0543,0.0694,285.603,0.097,3.772
50.6,0.85,0.5891,0.0410,0.0594,244.590,0.083,2.851
52.6,0.89,0.5019,0.0278,0.0492,202.085,0.069,1.931
54.6,0.92,0.3506,0.0147,0.0386,158.834,0.054,1.019
56.6,0.96,0.0479,0.0014,0.0275,113.346,0.039,0.098
