# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.2701,0.1599,101.415,0.064,5.382
1.0,0.03,0.0544,0.2665,0.1614,102.161,0.065,5.311
2.1,0.07,0.1063,0.2626,0.1627,102.907,0.066,5.236
3.1,0.10,0.1559,0.2583,0.1637,103.652,0.066,5.147
4.2,0.13,0.2031,0.2534,0.1644,104.398,0.066,5.053
5.2,0.16,0.2481,0.2482,0.1648,104.398,0.066,4.946
6.3,0.20,0.2909,0.2423,0.1647,104.398,0.066,4.831
7.3,0.23,0.3316,0.2360,0.1641,103.652,0.066,4.702
8.4,0.26,0.3703,0.2290,0.1630,102.907,0.066,4.564
9.4,0.30,0.4070,0.2215,0.1613,102.161,0.065,4.417
10.5,0.33,0.4418,0.2135,0.1592,100.669,0.064,4.257
11.5,0.36,0.4746,0.2049,0.1565,99.178,0.063,4.083
12.5,0.40,0.5053,0.1960,0.1533,96.941,0.062,3.906
13.6,0.43,0.5340,0.1866,0.1496,94.704,0.060,3.719
14.6,0.46,0.5604,0.1768,0.1455,91.721,0.059,3.523
15.7,0.49,0.5844,0.1667,0.1409,89.484,0.057,3.323
16.7,0.53,0.6058,0.1561,0.1358,85.755,0.055,3.114
17.8,0.56,0.6243,0.1453,0.1304,82.773,0.053,2.896
18.8,0.59,0.6394,0.1342,0.1244,79.044,0.050,2.673
19.9,0.63,0.6507,0.1227,0.1181,74.570,0.048,2.447
20.9,0.66,0.6575,0.1110,0.1113,70.096,0.045,2.215
22.0,0.69,0.6589,0.0991,0.1041,65.622,0.042,1.975
23.0,0.72,0.6535,0.0870,0.0965,61.147,0.039,1.735
24.1,0.76,0.6395,0.0747,0.0885,55.927,0.036,1.490
25.1,0.79,0.6143,0.0623,0.0801,50.708,0.032,1.241
26.1,0.82,0.5738,0.0498,0.0714,45.488,0.029,0.992
27.2,0.86,0.5114,0.0373,0.0624,39.522,0.025,0.743
28.2,0.89,0.4159,0.0249,0.0532,33.556,0.021,0.494
29.3,0.92,0.2650,0.0126,0.0437,27.591,0.018,0.249
30.3,0.96,0.0021,0.0001,0.0338,21.625,0.014,0.000
