# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.2820,0.1650,1443.675,0.383,32.379
2.5,0.03,0.0552,0.2787,0.1669,1460.080,0.387,32.001
5.0,0.07,0.1079,0.2751,0.1685,1474.249,0.391,31.582
7.6,0.10,0.1582,0.2710,0.1699,1486.180,0.394,31.111
10.1,0.13,0.2061,0.2664,0.1709,1495.128,0.397,30.586
12.6,0.17,0.2517,0.2613,0.1715,1501.094,0.398,29.999
15.1,0.20,0.2951,0.2555,0.1717,1502.585,0.398,29.340
17.6,0.23,0.3366,0.2492,0.1713,1498.857,0.398,28.615
20.1,0.26,0.3760,0.2423,0.1703,1490.654,0.395,27.815
22.7,0.30,0.4136,0.2346,0.1687,1476.486,0.392,26.943
25.2,0.33,0.4494,0.2264,0.1665,1456.352,0.386,25.995
27.7,0.36,0.4835,0.2176,0.1636,1431.744,0.380,24.986
30.2,0.40,0.5157,0.2083,0.1602,1401.170,0.372,23.914
32.7,0.43,0.5462,0.1985,0.1561,1366.122,0.362,22.788
35.3,0.46,0.5747,0.1882,0.1515,1325.854,0.352,21.609
37.8,0.50,0.6013,0.1775,0.1464,1280.367,0.340,20.386
40.3,0.53,0.6257,0.1665,0.1407,1231.150,0.327,19.114
42.8,0.56,0.6477,0.1551,0.1345,1176.714,0.312,17.802
45.3,0.59,0.6670,0.1433,0.1278,1117.804,0.297,16.454
47.9,0.63,0.6832,0.1312,0.1206,1055.165,0.280,15.062
50.4,0.66,0.6957,0.1188,0.1129,987.307,0.262,13.643
52.9,0.69,0.7038,0.1061,0.1047,915.719,0.243,12.188
55.4,0.73,0.7062,0.0933,0.0960,840.404,0.223,10.707
57.9,0.76,0.7012,0.0802,0.0869,760.614,0.202,9.208
60.4,0.79,0.6862,0.0670,0.0774,677.095,0.180,7.687
63.0,0.83,0.6568,0.0537,0.0675,590.594,0.157,6.161
65.5,0.86,0.6052,0.0403,0.0573,501.110,0.133,4.631
68.0,0.89,0.5166,0.0271,0.0468,409.389,0.109,3.109
70.5,0.93,0.3571,0.0139,0.0360,315.431,0.084,1.597
73.0,0.96,0.0128,0.0003,0.0247,215.507,0.057,0.036
