# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.2669,0.1711,3.728,0.008,0.592
0.3,0.03,0.0497,0.2633,0.1723,3.728,0.008,0.583
0.7,0.07,0.0974,0.2594,0.1734,3.728,0.008,0.574
1.0,0.10,0.1430,0.2551,0.1741,3.728,0.008,0.565
1.4,0.13,0.1866,0.2503,0.1746,3.728,0.008,0.556
1.7,0.16,0.2283,0.2450,0.1747,3.728,0.008,0.543
2.1,0.20,0.2680,0.2393,0.1744,3.728,0.008,0.529
2.4,0.23,0.3058,0.2330,0.1736,3.728,0.008,0.516
2.8,0.26,0.3417,0.2262,0.1724,3.728,0.008,0.503
3.1,0.29,0.3758,0.2189,0.1706,3.728,0.008,0.485
3.4,0.33,0.4080,0.2110,0.1684,3.728,0.008,0.467
3.8,0.36,0.4381,0.2027,0.1657,3.728,0.007,0.449
4.1,0.39,0.4662,0.1939,0.1625,3.728,0.007,0.431
4.5,0.42,0.4920,0.1848,0.1589,3.728,0.007,0.409
4.8,0.46,0.5154,0.1752,0.1549,3.728,0.007,0.387
5.2,0.49,0.5362,0.1652,0.1505,3.728,0.007,0.365
5.5,0.52,0.5540,0.1550,0.1457,3.728,0.007,0.343
5.9,0.55,0.5684,0.1443,0.1405,2.983,0.006,0.320
6.2,0.59,0.5791,0.1334,0.1350,2.983,0.006,0.294
6.5,0.62,0.5854,0.1222,0.1291,2.983,0.006,0.271
6.9,0.65,0.5866,0.1107,0.1228,2.983,0.006,0.245
7.2,0.68,0.5818,0.0989,0.1162,2.983,0.005,0.218
7.6,0.72,0.5696,0.0869,0.1093,2.237,0.005,0.191
7.9,0.75,0.5486,0.0748,0.1020,2.237,0.005,0.165
8.3,0.78,0.5164,0.0624,0.0945,2.237,0.004,0.138
8.6,0.81,0.4701,0.0500,0.0866,2.237,0.004,0.111
9.0,0.85,0.4052,0.0376,0.0785,1.491,0.004,0.085
9.3,0.88,0.3152,0.0252,0.0702,1.491,0.003,0.058
9.6,0.91,0.1900,0.0129,0.0617,1.491,0.003,0.027
10.0,0.94,0.0096,0.0005,0.0529,1.491,0.002,0.000
