# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1045,0.0363,597.306,0.408,29.020
1.3,0.02,0.0621,0.1026,0.0366,602.525,0.411,28.522
2.6,0.04,0.1210,0.1007,0.0369,607.000,0.414,27.984
3.9,0.07,0.1768,0.0987,0.0371,609.982,0.416,27.414
5.2,0.09,0.2295,0.0965,0.0372,612.965,0.418,26.805
6.6,0.11,0.2793,0.0941,0.0373,614.457,0.419,26.156
7.9,0.13,0.3262,0.0917,0.0373,614.457,0.419,25.466
9.2,0.15,0.3703,0.0890,0.0372,612.965,0.418,24.732
10.5,0.18,0.4117,0.0862,0.0371,610.728,0.416,23.958
11.8,0.20,0.4505,0.0833,0.0368,606.254,0.414,23.140
13.1,0.22,0.4867,0.0802,0.0365,600.288,0.410,22.281
14.4,0.24,0.5204,0.0769,0.0360,592.831,0.404,21.374
15.7,0.27,0.5515,0.0735,0.0354,583.137,0.398,20.426
17.1,0.29,0.5801,0.0699,0.0347,571.206,0.390,19.434
18.4,0.31,0.6061,0.0662,0.0339,557.784,0.380,18.398
19.7,0.33,0.6294,0.0623,0.0329,541.378,0.369,17.321
21.0,0.35,0.6498,0.0583,0.0318,523.481,0.357,16.209
22.3,0.38,0.6673,0.0542,0.0306,503.347,0.343,15.062
23.6,0.40,0.6814,0.0500,0.0292,480.976,0.328,13.883
24.9,0.42,0.6917,0.0456,0.0277,457.114,0.312,12.677
26.2,0.44,0.6978,0.0412,0.0261,430.269,0.294,11.450
27.5,0.46,0.6987,0.0367,0.0244,401.932,0.274,10.200
28.9,0.49,0.6932,0.0322,0.0226,372.104,0.254,8.936
30.2,0.51,0.6797,0.0276,0.0206,340.039,0.232,7.655
31.5,0.53,0.6553,0.0229,0.0186,305.737,0.209,6.365
32.8,0.55,0.6159,0.0183,0.0164,269.943,0.184,5.075
34.1,0.58,0.5539,0.0136,0.0142,232.658,0.159,3.785
35.4,0.60,0.4558,0.0090,0.0118,194.628,0.133,2.500
36.7,0.62,0.2932,0.0044,0.0094,154.360,0.105,1.232
38.0,0.64,-0.0075,-0.0001,0.0069,113.346,0.077,-0.022
