# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1012,0.0367,75.316,0.103,7.028
0.7,0.02,0.0595,0.0994,0.0369,76.061,0.104,6.904
1.3,0.04,0.1160,0.0975,0.0372,76.807,0.104,6.775
2.0,0.07,0.1695,0.0955,0.0374,76.807,0.105,6.632
2.6,0.09,0.2200,0.0933,0.0375,76.807,0.105,6.481
3.3,0.11,0.2678,0.0910,0.0376,77.553,0.106,6.321
3.9,0.13,0.3127,0.0886,0.0376,77.553,0.106,6.156
4.6,0.15,0.3549,0.0860,0.0375,77.553,0.105,5.974
5.2,0.18,0.3944,0.0833,0.0374,76.807,0.105,5.787
5.9,0.20,0.4313,0.0805,0.0371,76.061,0.104,5.587
6.5,0.22,0.4655,0.0775,0.0368,75.316,0.103,5.378
7.2,0.24,0.4971,0.0743,0.0363,74.570,0.102,5.160
7.9,0.27,0.5261,0.0710,0.0358,73.824,0.100,4.933
8.5,0.29,0.5524,0.0675,0.0351,72.333,0.099,4.693
9.2,0.31,0.5759,0.0639,0.0344,70.841,0.096,4.439
9.8,0.33,0.5965,0.0602,0.0335,68.604,0.094,4.181
10.5,0.35,0.6140,0.0563,0.0324,67.113,0.091,3.910
11.1,0.38,0.6281,0.0523,0.0313,64.130,0.088,3.634
11.8,0.40,0.6385,0.0482,0.0301,61.893,0.084,3.350
12.4,0.42,0.6448,0.0441,0.0287,58.910,0.081,3.060
13.1,0.44,0.6462,0.0398,0.0272,55.927,0.076,2.767
13.8,0.46,0.6420,0.0355,0.0256,52.945,0.072,2.464
14.4,0.49,0.6309,0.0311,0.0240,49.216,0.067,2.157
15.1,0.51,0.6112,0.0267,0.0222,45.488,0.062,1.850
15.7,0.53,0.5804,0.0222,0.0203,41.759,0.057,1.539
16.4,0.55,0.5350,0.0177,0.0183,37.285,0.051,1.228
17.0,0.57,0.4689,0.0132,0.0162,33.556,0.046,0.921
17.7,0.60,0.3726,0.0088,0.0141,29.082,0.039,0.609
18.3,0.62,0.2288,0.0044,0.0118,24.608,0.033,0.302
19.0,0.64,0.0018,0.0000,0.0095,19.388,0.027,0.000
