# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1004,0.0385,14.914,0.035,2.277
0.4,0.02,0.0561,0.0986,0.0387,14.914,0.035,2.237
0.7,0.04,0.1095,0.0967,0.0389,14.914,0.036,2.193
1.1,0.07,0.1601,0.0947,0.0391,14.914,0.036,2.148
1.5,0.09,0.2081,0.0926,0.0392,14.914,0.036,2.100
1.9,0.11,0.2534,0.0903,0.0392,14.914,0.036,2.046
2.2,0.13,0.2961,0.0879,0.0392,14.914,0.036,1.993
2.6,0.15,0.3361,0.0854,0.0392,14.914,0.036,1.935
3.0,0.18,0.3736,0.0827,0.0390,14.914,0.036,1.877
3.4,0.20,0.4085,0.0798,0.0387,14.914,0.035,1.810
3.7,0.22,0.4409,0.0769,0.0384,14.914,0.035,1.744
4.1,0.24,0.4706,0.0737,0.0380,14.914,0.035,1.673
4.5,0.26,0.4977,0.0705,0.0374,14.168,0.034,1.597
4.9,0.29,0.5221,0.0670,0.0368,14.168,0.034,1.521
5.2,0.31,0.5436,0.0635,0.0360,14.168,0.033,1.441
5.6,0.33,0.5621,0.0598,0.0351,13.423,0.032,1.357
6.0,0.35,0.5773,0.0560,0.0342,13.423,0.031,1.268
6.3,0.37,0.5890,0.0520,0.0331,12.677,0.030,1.179
6.7,0.40,0.5968,0.0480,0.0319,11.931,0.029,1.090
7.1,0.42,0.6002,0.0438,0.0306,11.931,0.028,0.992
7.5,0.44,0.5985,0.0396,0.0291,11.185,0.027,0.899
7.8,0.46,0.5910,0.0353,0.0276,10.440,0.025,0.801
8.2,0.48,0.5764,0.0310,0.0260,9.694,0.024,0.703
8.6,0.51,0.5533,0.0266,0.0243,9.694,0.022,0.601
8.9,0.53,0.5194,0.0221,0.0225,8.948,0.021,0.503
9.3,0.55,0.4717,0.0177,0.0206,8.203,0.019,0.400
9.7,0.57,0.4058,0.0132,0.0187,7.457,0.017,0.298
10.1,0.59,0.3148,0.0088,0.0166,6.711,0.015,0.200
10.4,0.62,0.1875,0.0044,0.0145,5.220,0.013,0.102
10.8,0.64,0.0045,0.0001,0.0124,4.474,0.011,0.000
