# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1078,0.0466,5072.251,3.229,132.090
2.7,0.03,0.0675,0.1072,0.0474,5160.243,3.285,131.414
5.3,0.06,0.1319,0.1066,0.0482,5249.727,3.342,130.631
8.0,0.09,0.1932,0.1059,0.0490,5339.957,3.400,129.719
10.6,0.12,0.2513,0.1050,0.0498,5428.695,3.456,128.647
13.3,0.15,0.3062,0.1040,0.0506,5513.705,3.510,127.393
15.9,0.18,0.3582,0.1028,0.0513,5592.003,3.560,125.911
18.6,0.21,0.4071,0.1013,0.0520,5660.608,3.604,124.177
21.2,0.24,0.4531,0.0997,0.0525,5716.535,3.640,122.148
23.9,0.27,0.4964,0.0978,0.0529,5757.549,3.666,119.795
26.5,0.30,0.5370,0.0956,0.0531,5779.920,3.680,117.082
29.2,0.33,0.5750,0.0930,0.0531,5780.665,3.680,113.977
31.8,0.36,0.6104,0.0901,0.0528,5756.057,3.665,110.454
34.5,0.39,0.6434,0.0869,0.0524,5703.858,3.631,106.495
37.1,0.42,0.6740,0.0833,0.0516,5621.086,3.579,102.082
39.8,0.45,0.7022,0.0793,0.0505,5504.756,3.505,97.211
42.4,0.48,0.7279,0.0750,0.0492,5354.125,3.409,91.887
45.1,0.51,0.7512,0.0703,0.0474,5166.954,3.290,86.131
47.7,0.54,0.7719,0.0653,0.0454,4943.244,3.147,79.961
50.4,0.57,0.7895,0.0599,0.0430,4683.741,2.982,73.422
53.0,0.60,0.8036,0.0543,0.0403,4392.918,2.797,66.581
55.7,0.63,0.8131,0.0486,0.0374,4073.758,2.593,59.499
58.3,0.66,0.8170,0.0426,0.0342,3727.754,2.373,52.218
61.0,0.69,0.8135,0.0366,0.0308,3357.141,2.137,44.789
63.6,0.72,0.7994,0.0304,0.0272,2965.648,1.888,37.263
66.3,0.75,0.7689,0.0242,0.0235,2557.751,1.629,29.679
68.9,0.78,0.7113,0.0180,0.0197,2140.904,1.363,22.094
71.6,0.81,0.6062,0.0119,0.0158,1719.584,1.095,14.568
74.2,0.83,0.4083,0.0058,0.0120,1302.738,0.829,7.166
76.9,0.86,-0.0039,0.0000,0.0082,895.586,0.570,-0.044
