# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1071,0.0426,3774.733,2.575,114.346
2.5,0.03,0.0730,0.1065,0.0435,3852.286,2.628,113.688
4.9,0.06,0.1421,0.1058,0.0444,3931.330,2.682,112.927
7.4,0.09,0.2073,0.1050,0.0453,4012.611,2.737,112.051
9.9,0.12,0.2685,0.1040,0.0462,4093.147,2.792,111.032
12.4,0.15,0.3258,0.1029,0.0471,4172.191,2.846,109.840
14.8,0.18,0.3792,0.1016,0.0480,4246.761,2.897,108.461
17.3,0.21,0.4289,0.1001,0.0487,4315.365,2.943,106.855
19.8,0.24,0.4751,0.0984,0.0494,4375.021,2.984,105.000
22.3,0.27,0.5179,0.0964,0.0500,4423.492,3.017,102.865
24.7,0.30,0.5574,0.0941,0.0503,4458.540,3.041,100.432
27.2,0.33,0.5939,0.0915,0.0505,4475.691,3.053,97.665
29.7,0.36,0.6275,0.0886,0.0505,4474.199,3.052,94.551
32.2,0.39,0.6585,0.0853,0.0502,4448.845,3.035,91.073
34.6,0.42,0.6868,0.0817,0.0497,4399.629,3.001,87.216
37.1,0.45,0.7127,0.0777,0.0488,4322.076,2.948,82.986
39.6,0.48,0.7362,0.0734,0.0476,4215.441,2.875,78.378
42.1,0.51,0.7573,0.0688,0.0460,4077.487,2.781,73.413
44.5,0.54,0.7760,0.0638,0.0441,3908.959,2.666,68.102
47.0,0.57,0.7921,0.0586,0.0419,3709.857,2.530,62.498
49.5,0.60,0.8052,0.0531,0.0393,3481.673,2.375,56.644
52.0,0.63,0.8147,0.0474,0.0364,3226.643,2.201,50.590
54.4,0.66,0.8198,0.0416,0.0333,2947.006,2.010,44.380
56.9,0.69,0.8188,0.0357,0.0299,2644.997,1.804,38.055
59.4,0.72,0.8089,0.0297,0.0262,2323.601,1.585,31.649
61.9,0.75,0.7855,0.0236,0.0224,1985.053,1.354,25.204
64.3,0.78,0.7392,0.0176,0.0184,1633.083,1.114,18.763
66.8,0.81,0.6497,0.0116,0.0144,1272.164,0.868,12.375
69.3,0.84,0.4650,0.0057,0.0103,908.262,0.619,6.094
71.8,0.86,-0.0028,0.0000,0.0062,545.107,0.372,-0.022
