# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1505,0.0983,15.660,0.051,1.922
0.6,0.05,0.0720,0.1501,0.0998,16.405,0.052,1.917
1.2,0.10,0.1410,0.1497,0.1017,16.405,0.052,1.908
1.8,0.14,0.2066,0.1493,0.1038,17.151,0.054,1.904
2.4,0.19,0.2686,0.1489,0.1061,17.151,0.055,1.899
3.0,0.24,0.3267,0.1484,0.1087,17.897,0.056,1.895
3.6,0.29,0.3807,0.1478,0.1115,17.897,0.058,1.886
4.3,0.34,0.4305,0.1470,0.1144,18.642,0.059,1.877
4.9,0.38,0.4762,0.1461,0.1174,19.388,0.061,1.864
5.5,0.43,0.5179,0.1448,0.1204,19.388,0.062,1.846
6.1,0.48,0.5557,0.1432,0.1233,20.134,0.064,1.828
6.7,0.53,0.5900,0.1411,0.1259,20.134,0.065,1.802
7.3,0.57,0.6210,0.1385,0.1281,20.880,0.066,1.766
7.9,0.62,0.6490,0.1352,0.1297,20.880,0.067,1.726
8.5,0.67,0.6744,0.1313,0.1304,20.880,0.067,1.677
9.1,0.72,0.6974,0.1265,0.1302,20.880,0.067,1.615
9.7,0.77,0.7182,0.1209,0.1289,20.880,0.066,1.544
10.3,0.81,0.7369,0.1144,0.1263,20.134,0.065,1.459
10.9,0.86,0.7534,0.1070,0.1224,20.134,0.063,1.366
11.5,0.91,0.7672,0.0989,0.1172,18.642,0.060,1.263
12.2,0.96,0.7779,0.0901,0.1109,17.897,0.057,1.148
12.8,1.01,0.7845,0.0808,0.1036,17.151,0.053,1.032
13.4,1.05,0.7856,0.0712,0.0954,15.660,0.049,0.907
14.0,1.10,0.7794,0.0613,0.0865,14.168,0.045,0.783
14.6,1.15,0.7630,0.0511,0.0769,12.677,0.040,0.654
15.2,1.20,0.7313,0.0408,0.0668,11.185,0.034,0.520
15.8,1.24,0.6756,0.0305,0.0562,8.948,0.029,0.387
16.4,1.29,0.5778,0.0202,0.0451,7.457,0.023,0.258
17.0,1.34,0.3959,0.0100,0.0338,5.220,0.017,0.129
17.6,1.39,0.0015,0.0000,0.0224,3.728,0.012,0.000
