# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1527,0.0968,3386.223,1.797,70.135
3.7,0.05,0.0747,0.1525,0.0983,3438.422,1.824,70.042
7.3,0.10,0.1465,0.1524,0.1000,3501.061,1.857,69.975
11.0,0.14,0.2151,0.1522,0.1021,3574.139,1.896,69.926
14.7,0.19,0.2801,0.1522,0.1045,3657.658,1.941,69.895
18.3,0.24,0.3412,0.1521,0.1072,3752.362,1.991,69.864
22.0,0.29,0.3981,0.1520,0.1102,3857.505,2.046,69.819
25.7,0.34,0.4506,0.1518,0.1135,3970.852,2.107,69.739
29.3,0.38,0.4987,0.1515,0.1169,4091.655,2.171,69.592
33.0,0.43,0.5426,0.1510,0.1205,4215.441,2.236,69.339
36.7,0.48,0.5824,0.1501,0.1240,4338.482,2.302,68.939
40.3,0.53,0.6183,0.1488,0.1273,4456.302,2.364,68.338
44.0,0.58,0.6507,0.1469,0.1303,4560.700,2.420,67.475
47.6,0.63,0.6800,0.1443,0.1327,4644.965,2.465,66.296
51.3,0.67,0.7066,0.1410,0.1343,4701.638,2.494,64.744
55.0,0.72,0.7309,0.1366,0.1349,4721.026,2.505,62.760
58.6,0.77,0.7531,0.1313,0.1342,4695.672,2.491,60.309
62.3,0.82,0.7737,0.1249,0.1320,4619.611,2.451,57.364
66.0,0.87,0.7928,0.1174,0.1282,4487.622,2.381,53.921
69.6,0.91,0.8102,0.1089,0.1228,4298.960,2.281,50.020
73.3,0.96,0.8260,0.0996,0.1160,4058.099,2.153,45.728
77.0,1.01,0.8396,0.0896,0.1078,3771.004,2.001,41.137
80.6,1.06,0.8504,0.0791,0.0984,3442.896,1.827,36.311
84.3,1.11,0.8572,0.0682,0.0880,3078.995,1.633,31.307
88.0,1.15,0.8580,0.0570,0.0767,2683.028,1.423,26.169
91.6,1.20,0.8492,0.0456,0.0646,2259.471,1.199,20.942
95.3,1.25,0.8231,0.0341,0.0518,1813.542,0.962,15.662
99.0,1.30,0.7604,0.0226,0.0386,1351.208,0.717,10.382
102.6,1.35,0.5996,0.0112,0.0251,879.926,0.467,5.142
106.3,1.40,-0.0014,0.0000,0.0117,409.389,0.217,-0.004
