# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1526,0.0954,2811.289,1.579,62.506
3.5,0.05,0.0757,0.1524,0.0969,2856.031,1.604,62.417
6.9,0.10,0.1485,0.1522,0.0987,2909.721,1.634,62.346
10.4,0.14,0.2179,0.1521,0.1008,2971.614,1.669,62.293
13.9,0.19,0.2835,0.1520,0.1032,3043.201,1.710,62.253
17.3,0.24,0.3450,0.1518,0.1060,3123.737,1.755,62.208
20.8,0.29,0.4021,0.1517,0.1090,3213.221,1.805,62.146
24.3,0.34,0.4548,0.1515,0.1122,3309.416,1.859,62.048
27.7,0.39,0.5029,0.1510,0.1157,3410.831,1.916,61.884
31.2,0.43,0.5466,0.1504,0.1192,3515.229,1.975,61.617
34.7,0.48,0.5861,0.1494,0.1228,3618.881,2.033,61.216
38.1,0.53,0.6217,0.1480,0.1261,3717.314,2.088,60.629
41.6,0.58,0.6537,0.1460,0.1290,3804.561,2.137,59.811
45.0,0.63,0.6825,0.1433,0.1314,3874.657,2.176,58.708
48.5,0.67,0.7087,0.1398,0.1330,3920.144,2.202,57.271
52.0,0.72,0.7326,0.1354,0.1335,3934.313,2.210,55.456
55.4,0.77,0.7545,0.1299,0.1327,3911.196,2.197,53.232
58.9,0.82,0.7749,0.1235,0.1304,3844.829,2.160,50.576
62.4,0.87,0.7937,0.1159,0.1266,3732.228,2.097,47.494
65.8,0.91,0.8109,0.1074,0.1212,3573.394,2.007,44.011
69.3,0.96,0.8264,0.0981,0.1143,3371.309,1.894,40.199
72.8,1.01,0.8396,0.0882,0.1062,3131.194,1.759,36.128
76.2,1.06,0.8498,0.0778,0.0969,2857.522,1.605,31.858
79.7,1.11,0.8558,0.0670,0.0867,2554.768,1.435,27.437
83.2,1.16,0.8559,0.0559,0.0755,2225.914,1.251,22.908
86.6,1.20,0.8463,0.0447,0.0636,1873.944,1.053,18.309
90.1,1.25,0.8200,0.0334,0.0510,1502.585,0.844,13.678
93.6,1.30,0.7587,0.0221,0.0378,1115.567,0.627,9.048
97.0,1.35,0.6033,0.0109,0.0244,718.855,0.404,4.470
100.5,1.40,-0.0025,0.0000,0.0108,318.414,0.179,-0.009
