# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1502,0.1014,5.220,0.023,0.854
0.4,0.05,0.0694,0.1498,0.1029,5.220,0.024,0.850
0.8,0.10,0.1360,0.1494,0.1047,5.220,0.024,0.845
1.2,0.14,0.1995,0.1490,0.1068,5.220,0.025,0.845
1.6,0.19,0.2596,0.1485,0.1091,5.220,0.025,0.841
2.0,0.24,0.3160,0.1480,0.1116,5.220,0.026,0.841
2.4,0.29,0.3686,0.1474,0.1144,5.220,0.026,0.836
2.8,0.33,0.4173,0.1466,0.1172,5.966,0.027,0.832
3.2,0.38,0.4620,0.1456,0.1202,5.966,0.028,0.827
3.6,0.43,0.5029,0.1444,0.1231,5.966,0.028,0.818
4.0,0.48,0.5402,0.1427,0.1259,5.966,0.029,0.810
4.4,0.52,0.5741,0.1407,0.1285,5.966,0.029,0.796
4.8,0.57,0.6048,0.1380,0.1306,5.966,0.030,0.783
5.2,0.62,0.6326,0.1348,0.1321,6.711,0.030,0.765
5.7,0.67,0.6578,0.1309,0.1328,6.711,0.030,0.743
6.1,0.72,0.6806,0.1262,0.1326,6.711,0.030,0.716
6.5,0.76,0.7012,0.1206,0.1312,5.966,0.030,0.685
6.9,0.81,0.7196,0.1142,0.1286,5.966,0.029,0.649
7.3,0.86,0.7356,0.1070,0.1248,5.966,0.029,0.605
7.7,0.91,0.7488,0.0989,0.1196,5.966,0.027,0.560
8.1,0.95,0.7585,0.0902,0.1134,5.220,0.026,0.512
8.5,1.00,0.7638,0.0810,0.1062,5.220,0.024,0.458
8.9,1.05,0.7631,0.0714,0.0982,4.474,0.022,0.405
9.3,1.10,0.7544,0.0615,0.0894,4.474,0.020,0.347
9.7,1.14,0.7347,0.0514,0.0800,3.728,0.018,0.294
10.1,1.19,0.6990,0.0411,0.0701,3.728,0.016,0.231
10.5,1.24,0.6386,0.0308,0.0597,2.983,0.014,0.173
10.9,1.29,0.5369,0.0204,0.0490,2.237,0.011,0.116
11.3,1.33,0.3581,0.0102,0.0379,1.491,0.009,0.058
11.7,1.38,0.0061,0.0001,0.0267,1.491,0.006,0.000
