# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1515,0.0933,560.021,0.535,21.476
2.0,0.05,0.0768,0.1512,0.0949,569.715,0.544,21.432
4.1,0.10,0.1503,0.1509,0.0968,580.900,0.555,21.387
6.1,0.14,0.2201,0.1506,0.0989,593.577,0.567,21.347
8.2,0.19,0.2859,0.1503,0.1013,608.491,0.581,21.303
10.2,0.24,0.3473,0.1499,0.1040,624.151,0.596,21.254
12.2,0.29,0.4042,0.1495,0.1070,642.048,0.613,21.191
14.3,0.34,0.4564,0.1489,0.1101,660.690,0.631,21.111
16.3,0.39,0.5040,0.1481,0.1133,680.078,0.649,21.000
18.4,0.43,0.5472,0.1471,0.1166,699.466,0.668,20.849
20.4,0.48,0.5862,0.1456,0.1197,718.855,0.686,20.640
22.4,0.53,0.6213,0.1437,0.1226,736.006,0.703,20.368
24.5,0.58,0.6529,0.1412,0.1251,750.920,0.717,20.017
26.5,0.63,0.6814,0.1381,0.1269,762.105,0.728,19.568
28.6,0.67,0.7072,0.1341,0.1280,768.071,0.733,19.012
30.6,0.72,0.7307,0.1294,0.1280,768.071,0.733,18.336
32.6,0.77,0.7522,0.1237,0.1268,760.614,0.727,17.530
34.7,0.82,0.7718,0.1170,0.1243,745.700,0.712,16.592
36.7,0.87,0.7896,0.1095,0.1203,721.837,0.690,15.524
38.8,0.92,0.8054,0.1011,0.1150,689.772,0.659,14.337
40.8,0.96,0.8189,0.0921,0.1084,650.250,0.621,13.056
42.8,1.01,0.8296,0.0825,0.1007,604.017,0.577,11.699
44.9,1.06,0.8363,0.0726,0.0921,552.564,0.528,10.293
46.9,1.11,0.8378,0.0624,0.0825,495.145,0.473,8.843
49.0,1.16,0.8318,0.0520,0.0723,433.997,0.414,7.366
51.0,1.20,0.8140,0.0414,0.0614,368.376,0.352,5.876
53.1,1.25,0.7764,0.0309,0.0499,299.026,0.286,4.377
55.1,1.30,0.7000,0.0204,0.0379,227.438,0.217,2.891
57.1,1.35,0.5291,0.0101,0.0257,153.614,0.147,1.423
59.2,1.40,-0.0022,0.0000,0.0132,79.044,0.076,-0.004
