# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1510,0.0945,122.295,0.195,7.704
1.2,0.05,0.0754,0.1506,0.0961,124.532,0.198,7.687
2.4,0.10,0.1475,0.1503,0.0980,126.769,0.202,7.669
3.7,0.14,0.2160,0.1499,0.1001,129.752,0.207,7.651
4.9,0.19,0.2806,0.1495,0.1025,132.735,0.212,7.629
6.1,0.24,0.3409,0.1491,0.1052,136.463,0.217,7.606
7.3,0.29,0.3968,0.1485,0.1080,140.192,0.223,7.580
8.6,0.34,0.4482,0.1479,0.1111,143.920,0.229,7.544
9.8,0.38,0.4952,0.1470,0.1142,147.649,0.236,7.500
11.0,0.43,0.5378,0.1458,0.1173,152.123,0.242,7.437
12.2,0.48,0.5764,0.1442,0.1203,155.851,0.248,7.357
13.4,0.53,0.6112,0.1421,0.1230,159.580,0.254,7.255
14.7,0.58,0.6425,0.1395,0.1253,162.563,0.259,7.122
15.9,0.63,0.6709,0.1363,0.1270,164.800,0.262,6.957
17.1,0.67,0.6965,0.1323,0.1279,165.545,0.264,6.752
18.3,0.72,0.7198,0.1275,0.1278,165.545,0.264,6.508
19.5,0.77,0.7409,0.1218,0.1265,164.054,0.261,6.214
20.8,0.82,0.7601,0.1152,0.1239,160.325,0.256,5.881
22.0,0.87,0.7773,0.1077,0.1200,155.851,0.248,5.498
23.2,0.91,0.7922,0.0995,0.1147,148.394,0.237,5.075
24.4,0.96,0.8045,0.0905,0.1083,140.192,0.223,4.622
25.7,1.01,0.8134,0.0812,0.1008,130.497,0.208,4.141
26.9,1.06,0.8177,0.0714,0.0924,120.058,0.191,3.643
28.1,1.11,0.8159,0.0614,0.0832,108.126,0.172,3.132
29.3,1.15,0.8053,0.0511,0.0733,94.704,0.151,2.611
30.5,1.20,0.7813,0.0408,0.0628,81.281,0.129,2.082
31.8,1.25,0.7354,0.0304,0.0517,67.113,0.107,1.552
33.0,1.30,0.6484,0.0201,0.0403,52.199,0.083,1.028
34.2,1.35,0.4696,0.0099,0.0285,37.285,0.059,0.507
35.4,1.39,0.0015,0.0000,0.0166,21.625,0.034,0.000
