# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1514,0.0934,408.644,0.434,17.379
1.8,0.05,0.0766,0.1510,0.0950,415.355,0.441,17.344
3.7,0.10,0.1499,0.1507,0.0969,423.558,0.450,17.308
5.5,0.14,0.2196,0.1504,0.0990,433.252,0.460,17.272
7.3,0.19,0.2852,0.1501,0.1014,443.691,0.471,17.232
9.2,0.24,0.3464,0.1497,0.1041,455.623,0.483,17.192
11.0,0.29,0.4031,0.1492,0.1070,468.300,0.497,17.139
12.8,0.34,0.4551,0.1486,0.1101,481.722,0.511,17.068
14.7,0.39,0.5026,0.1478,0.1134,495.890,0.526,16.974
16.5,0.43,0.5457,0.1467,0.1166,510.059,0.541,16.845
18.4,0.48,0.5846,0.1452,0.1197,523.481,0.556,16.676
20.2,0.53,0.6197,0.1433,0.1225,536.158,0.569,16.450
22.0,0.58,0.6512,0.1407,0.1249,546.598,0.580,16.160
23.9,0.63,0.6797,0.1375,0.1268,554.801,0.588,15.796
25.7,0.67,0.7055,0.1336,0.1277,558.529,0.593,15.342
27.5,0.72,0.7289,0.1288,0.1277,558.529,0.593,14.790
29.4,0.77,0.7503,0.1231,0.1265,553.309,0.587,14.136
31.2,0.82,0.7698,0.1165,0.1239,542.124,0.575,13.376
33.0,0.87,0.7875,0.1090,0.1200,524.973,0.557,12.513
34.9,0.92,0.8031,0.1006,0.1147,501.856,0.532,11.552
36.7,0.96,0.8164,0.0916,0.1081,472.774,0.502,10.520
38.5,1.01,0.8266,0.0821,0.1005,439.963,0.467,9.426
40.4,1.06,0.8328,0.0722,0.0919,401.932,0.427,8.291
42.2,1.11,0.8336,0.0620,0.0825,360.919,0.383,7.126
44.1,1.16,0.8266,0.0517,0.0723,316.177,0.336,5.934
45.9,1.20,0.8075,0.0412,0.0615,269.198,0.285,4.733
47.7,1.25,0.7681,0.0307,0.0501,219.236,0.233,3.527
49.6,1.30,0.6893,0.0203,0.0383,167.782,0.178,2.331
51.4,1.35,0.5164,0.0100,0.0262,114.838,0.121,1.152
53.2,1.40,-0.0002,0.0000,0.0139,60.402,0.064,0.000
