# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1512,0.0936,287.840,0.343,13.723
1.6,0.05,0.0763,0.1509,0.0952,292.314,0.349,13.692
3.3,0.10,0.1494,0.1506,0.0971,298.280,0.356,13.660
4.9,0.14,0.2188,0.1502,0.0992,304.991,0.364,13.629
6.5,0.19,0.2841,0.1499,0.1016,312.448,0.373,13.598
8.2,0.24,0.3451,0.1495,0.1043,320.651,0.383,13.563
9.8,0.29,0.4016,0.1490,0.1072,329.599,0.393,13.518
11.4,0.34,0.4535,0.1484,0.1103,338.548,0.405,13.460
13.0,0.39,0.5009,0.1475,0.1135,348.988,0.416,13.385
14.7,0.43,0.5438,0.1464,0.1167,358.682,0.428,13.278
16.3,0.48,0.5826,0.1448,0.1197,367.630,0.439,13.140
17.9,0.53,0.6176,0.1429,0.1226,376.578,0.449,12.962
19.6,0.58,0.6491,0.1403,0.1249,384.035,0.458,12.731
21.2,0.63,0.6775,0.1371,0.1267,389.255,0.465,12.437
22.8,0.67,0.7033,0.1331,0.1276,392.238,0.468,12.077
24.5,0.72,0.7266,0.1283,0.1276,392.238,0.468,11.641
26.1,0.77,0.7480,0.1226,0.1263,387.764,0.463,11.121
27.7,0.82,0.7674,0.1160,0.1238,380.307,0.454,10.524
29.4,0.87,0.7849,0.1085,0.1198,368.376,0.439,9.839
31.0,0.92,0.8003,0.1001,0.1145,351.970,0.420,9.083
32.6,0.96,0.8133,0.0912,0.1080,331.836,0.396,8.269
34.3,1.01,0.8231,0.0817,0.1004,308.720,0.368,7.411
35.9,1.06,0.8287,0.0718,0.0919,282.620,0.337,6.517
37.5,1.11,0.8287,0.0617,0.0825,253.538,0.303,5.600
39.2,1.16,0.8206,0.0514,0.0724,222.219,0.266,4.666
40.8,1.20,0.8000,0.0410,0.0617,189.408,0.226,3.719
42.4,1.25,0.7585,0.0306,0.0505,155.106,0.185,2.771
44.0,1.30,0.6770,0.0202,0.0388,119.312,0.142,1.828
45.7,1.35,0.5015,0.0099,0.0267,82.027,0.098,0.903
47.3,1.40,-0.0027,0.0000,0.0146,44.742,0.053,-0.004
