# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1516,0.0933,744.954,0.647,26.009
2.2,0.05,0.0769,0.1513,0.0949,757.631,0.658,25.955
4.5,0.10,0.1505,0.1510,0.0967,772.545,0.671,25.911
6.7,0.14,0.2205,0.1508,0.0989,789.696,0.686,25.862
9.0,0.19,0.2864,0.1505,0.1013,809.084,0.703,25.813
11.2,0.24,0.3479,0.1502,0.1040,830.710,0.721,25.760
13.5,0.29,0.4049,0.1498,0.1070,854.572,0.742,25.688
15.7,0.34,0.4572,0.1492,0.1101,879.926,0.764,25.595
18.0,0.39,0.5049,0.1485,0.1134,906.025,0.786,25.466
20.2,0.43,0.5482,0.1474,0.1167,932.125,0.809,25.293
22.5,0.48,0.5873,0.1460,0.1199,957.479,0.831,25.052
24.7,0.53,0.6224,0.1442,0.1228,981.341,0.852,24.728
26.9,0.58,0.6541,0.1417,0.1254,1001.475,0.869,24.310
29.2,0.63,0.6826,0.1386,0.1273,1016.389,0.882,23.776
31.4,0.67,0.7085,0.1347,0.1283,1025.337,0.890,23.109
33.7,0.72,0.7320,0.1300,0.1284,1025.337,0.890,22.294
35.9,0.77,0.7536,0.1243,0.1272,1016.389,0.882,21.320
38.2,0.82,0.7733,0.1177,0.1247,996.255,0.865,20.186
40.4,0.87,0.7912,0.1101,0.1208,964.936,0.837,18.887
42.7,0.92,0.8072,0.1017,0.1154,921.685,0.800,17.450
44.9,0.96,0.8211,0.0926,0.1088,868.740,0.754,15.893
47.1,1.01,0.8320,0.0831,0.1011,806.847,0.701,14.248
49.4,1.06,0.8393,0.0731,0.0923,737.497,0.640,12.531
51.6,1.11,0.8415,0.0628,0.0827,660.690,0.574,10.769
53.9,1.16,0.8364,0.0523,0.0724,577.917,0.502,8.972
56.1,1.21,0.8199,0.0417,0.0613,489.925,0.425,7.157
58.4,1.25,0.7839,0.0311,0.0497,396.712,0.345,5.333
60.6,1.30,0.7097,0.0205,0.0376,300.517,0.261,3.519
62.9,1.35,0.5409,0.0101,0.0252,201.339,0.175,1.735
65.1,1.40,-0.0047,0.0000,0.0126,100.669,0.088,-0.009
