# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1518,0.0934,967.918,0.770,30.982
2.4,0.05,0.0769,0.1515,0.0950,984.324,0.784,30.924
4.9,0.10,0.1506,0.1512,0.0968,1003.712,0.799,30.871
7.3,0.14,0.2206,0.1510,0.0990,1026.083,0.817,30.817
9.8,0.19,0.2866,0.1507,0.1014,1051.437,0.837,30.764
12.2,0.24,0.3482,0.1504,0.1041,1079.773,0.859,30.706
14.7,0.29,0.4053,0.1501,0.1071,1110.347,0.884,30.630
17.1,0.34,0.4577,0.1495,0.1103,1143.158,0.910,30.528
19.6,0.39,0.5055,0.1488,0.1136,1177.460,0.937,30.386
22.0,0.43,0.5489,0.1479,0.1169,1212.508,0.965,30.181
24.5,0.48,0.5880,0.1465,0.1201,1246.064,0.991,29.905
26.9,0.53,0.6232,0.1447,0.1231,1276.638,1.016,29.536
29.4,0.58,0.6549,0.1423,0.1257,1303.483,1.037,29.047
31.8,0.63,0.6835,0.1392,0.1277,1323.617,1.054,28.420
34.3,0.68,0.7094,0.1354,0.1288,1335.548,1.063,27.632
36.7,0.72,0.7330,0.1307,0.1289,1337.040,1.064,26.672
39.2,0.77,0.7546,0.1250,0.1278,1325.109,1.055,25.515
41.6,0.82,0.7744,0.1184,0.1253,1299.009,1.034,24.167
44.1,0.87,0.7924,0.1108,0.1214,1258.741,1.002,22.624
46.5,0.92,0.8087,0.1024,0.1160,1202.814,0.957,20.907
49.0,0.96,0.8228,0.0933,0.1093,1133.464,0.902,19.043
51.4,1.01,0.8341,0.0837,0.1015,1052.928,0.838,17.077
53.9,1.06,0.8419,0.0736,0.0927,961.953,0.765,15.026
56.3,1.11,0.8447,0.0633,0.0831,861.283,0.685,12.913
58.8,1.16,0.8405,0.0527,0.0726,752.411,0.599,10.760
61.2,1.21,0.8251,0.0420,0.0614,636.828,0.507,8.581
63.7,1.25,0.7909,0.0313,0.0497,515.279,0.410,6.397
66.1,1.30,0.7189,0.0207,0.0374,388.510,0.309,4.221
68.6,1.35,0.5524,0.0102,0.0249,258.012,0.205,2.077
71.0,1.40,-0.0059,-0.0001,0.0121,126.023,0.100,-0.009
