# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1511,0.0940,193.136,0.264,10.498
1.4,0.05,0.0759,0.1508,0.0956,196.865,0.268,10.471
2.9,0.10,0.1486,0.1504,0.0974,200.593,0.274,10.449
4.3,0.14,0.2176,0.1501,0.0996,205.067,0.280,10.422
5.7,0.19,0.2826,0.1497,0.1020,210.287,0.286,10.400
7.1,0.24,0.3434,0.1493,0.1047,215.507,0.294,10.369
8.6,0.29,0.3996,0.1488,0.1075,221.473,0.302,10.333
10.0,0.34,0.4513,0.1481,0.1106,227.438,0.311,10.289
11.4,0.39,0.4985,0.1472,0.1138,234.150,0.319,10.226
12.8,0.43,0.5413,0.1461,0.1169,240.861,0.328,10.146
14.3,0.48,0.5800,0.1445,0.1199,246.827,0.337,10.035
15.7,0.53,0.6149,0.1425,0.1227,252.792,0.345,9.897
17.1,0.58,0.6463,0.1399,0.1250,257.266,0.351,9.719
18.5,0.63,0.6747,0.1367,0.1268,260.995,0.356,9.493
20.0,0.67,0.7004,0.1327,0.1277,262.486,0.359,9.217
21.4,0.72,0.7237,0.1279,0.1276,262.486,0.358,8.883
22.8,0.77,0.7449,0.1222,0.1263,260.249,0.355,8.483
24.3,0.82,0.7642,0.1155,0.1237,255.029,0.347,8.025
25.7,0.87,0.7816,0.1080,0.1198,246.827,0.336,7.504
27.1,0.91,0.7968,0.0997,0.1145,235.641,0.322,6.926
28.5,0.96,0.8094,0.0908,0.1080,222.219,0.303,6.308
30.0,1.01,0.8187,0.0814,0.1005,206.559,0.282,5.654
31.4,1.06,0.8238,0.0716,0.0920,189.408,0.258,4.969
32.8,1.11,0.8229,0.0615,0.0827,170.020,0.232,4.270
34.2,1.16,0.8136,0.0512,0.0727,149.886,0.204,3.559
35.7,1.20,0.7914,0.0408,0.0621,127.515,0.174,2.838
37.1,1.25,0.7477,0.0304,0.0510,105.144,0.143,2.113
38.5,1.30,0.6633,0.0201,0.0394,81.281,0.110,1.397
39.9,1.35,0.4855,0.0099,0.0275,56.673,0.077,0.689
41.4,1.40,-0.0038,0.0000,0.0154,32.065,0.043,-0.004
