# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1509,0.0953,71.587,0.137,5.347
1.0,0.05,0.0746,0.1505,0.0969,72.333,0.139,5.333
2.0,0.10,0.1461,0.1501,0.0988,73.824,0.141,5.320
3.1,0.14,0.2140,0.1497,0.1009,75.316,0.145,5.307
4.1,0.19,0.2779,0.1493,0.1033,77.553,0.148,5.293
5.1,0.24,0.3378,0.1489,0.1059,79.790,0.152,5.276
6.1,0.29,0.3932,0.1483,0.1087,81.281,0.156,5.258
7.1,0.34,0.4443,0.1476,0.1118,83.518,0.160,5.231
8.1,0.38,0.4909,0.1467,0.1149,86.501,0.165,5.200
9.2,0.43,0.5333,0.1455,0.1179,88.738,0.169,5.155
10.2,0.48,0.5717,0.1439,0.1209,90.975,0.173,5.098
11.2,0.53,0.6064,0.1418,0.1236,92.467,0.177,5.026
12.2,0.58,0.6377,0.1392,0.1259,94.704,0.180,4.933
13.2,0.62,0.6659,0.1359,0.1275,95.450,0.183,4.817
14.2,0.67,0.6915,0.1319,0.1283,96.195,0.184,4.675
15.3,0.72,0.7147,0.1271,0.1282,96.195,0.184,4.506
16.3,0.77,0.7358,0.1214,0.1269,95.450,0.182,4.301
17.3,0.82,0.7548,0.1149,0.1243,93.212,0.178,4.070
18.3,0.86,0.7718,0.1074,0.1204,90.230,0.172,3.808
19.3,0.91,0.7865,0.0992,0.1151,86.501,0.165,3.514
20.3,0.96,0.7983,0.0903,0.1087,81.281,0.156,3.198
21.4,1.01,0.8065,0.0809,0.1013,76.061,0.145,2.869
22.4,1.06,0.8100,0.0712,0.0929,69.350,0.133,2.522
23.4,1.11,0.8070,0.0612,0.0838,62.639,0.120,2.171
24.4,1.15,0.7948,0.0510,0.0740,55.182,0.106,1.806
25.4,1.20,0.7687,0.0407,0.0636,47.725,0.091,1.441
26.4,1.25,0.7199,0.0303,0.0527,39.522,0.075,1.076
27.5,1.30,0.6294,0.0200,0.0413,31.319,0.059,0.712
28.5,1.35,0.4482,0.0099,0.0297,22.371,0.042,0.351
29.5,1.39,-0.0024,0.0000,0.0179,13.423,0.026,0.000
