# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1528,0.0991,4078.978,2.050,78.191
3.9,0.05,0.0729,0.1526,0.1006,4139.380,2.080,78.093
7.7,0.10,0.1432,0.1525,0.1023,4210.967,2.117,78.022
11.6,0.14,0.2104,0.1524,0.1044,4295.231,2.159,77.982
15.5,0.19,0.2743,0.1523,0.1067,4392.918,2.208,77.960
19.3,0.24,0.3344,0.1523,0.1094,4502.536,2.263,77.946
23.2,0.29,0.3906,0.1523,0.1124,4624.831,2.325,77.924
27.0,0.34,0.4426,0.1522,0.1156,4757.565,2.391,77.871
30.9,0.38,0.4906,0.1519,0.1190,4898.502,2.462,77.750
34.8,0.43,0.5345,0.1515,0.1225,5043.914,2.535,77.524
38.6,0.48,0.5744,0.1507,0.1261,5187.834,2.608,77.137
42.5,0.53,0.6108,0.1496,0.1294,5325.788,2.677,76.541
46.4,0.58,0.6438,0.1478,0.1324,5448.083,2.738,75.655
50.2,0.62,0.6738,0.1454,0.1348,5547.261,2.788,74.423
54.1,0.67,0.7012,0.1422,0.1364,5612.883,2.821,72.768
58.0,0.72,0.7263,0.1380,0.1369,5636.000,2.833,70.633
61.8,0.77,0.7495,0.1328,0.1362,5606.172,2.818,67.964
65.7,0.82,0.7708,0.1265,0.1340,5515.942,2.772,64.735
69.5,0.86,0.7906,0.1191,0.1302,5360.091,2.694,60.936
73.4,0.91,0.8087,0.1106,0.1248,5137.872,2.582,56.599
77.3,0.96,0.8250,0.1012,0.1179,4852.269,2.439,51.808
81.1,1.01,0.8392,0.0912,0.1096,4511.484,2.268,46.662
85.0,1.06,0.8505,0.0806,0.1001,4121.483,2.072,41.239
88.9,1.10,0.8577,0.0696,0.0896,3688.232,1.854,35.599
92.7,1.15,0.8587,0.0582,0.0782,3218.441,1.617,29.803
96.6,1.20,0.8492,0.0467,0.0660,2716.585,1.365,23.887
100.5,1.25,0.8204,0.0350,0.0532,2191.612,1.101,17.900
104.3,1.30,0.7507,0.0232,0.0401,1651.725,0.830,11.886
108.2,1.34,0.5758,0.0115,0.0269,1108.856,0.557,5.903
112.1,1.39,-0.0005,0.0000,0.0140,574.935,0.289,-0.004
