# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1524,0.0946,2324.346,1.387,55.309
3.3,0.05,0.0763,0.1522,0.0961,2362.377,1.410,55.225
6.5,0.10,0.1495,0.1520,0.0979,2407.119,1.437,55.158
9.8,0.14,0.2193,0.1518,0.1001,2460.064,1.468,55.100
13.1,0.19,0.2851,0.1517,0.1025,2519.720,1.504,55.051
16.3,0.24,0.3468,0.1515,0.1053,2587.579,1.544,54.998
19.6,0.29,0.4040,0.1513,0.1083,2662.149,1.589,54.922
22.8,0.34,0.4566,0.1510,0.1116,2741.938,1.637,54.811
26.1,0.39,0.5046,0.1506,0.1150,2826.948,1.687,54.642
29.4,0.43,0.5482,0.1498,0.1185,2913.449,1.739,54.375
32.6,0.48,0.5875,0.1488,0.1220,2998.459,1.790,53.984
35.9,0.53,0.6229,0.1472,0.1253,3078.995,1.838,53.428
39.2,0.58,0.6547,0.1451,0.1281,3149.836,1.880,52.667
42.4,0.63,0.6835,0.1423,0.1304,3205.764,1.913,51.653
45.7,0.67,0.7096,0.1387,0.1319,3241.557,1.935,50.345
48.9,0.72,0.7334,0.1342,0.1323,3250.506,1.940,48.708
52.2,0.77,0.7552,0.1287,0.1314,3228.880,1.927,46.715
55.5,0.82,0.7755,0.1222,0.1291,3172.207,1.893,44.349
58.7,0.87,0.7941,0.1147,0.1252,3077.503,1.837,41.609
62.0,0.92,0.8111,0.1062,0.1198,2944.769,1.758,38.526
65.3,0.96,0.8263,0.0969,0.1130,2776.986,1.658,35.163
68.5,1.01,0.8391,0.0870,0.1049,2578.630,1.539,31.582
71.8,1.06,0.8488,0.0767,0.0958,2353.429,1.405,27.828
75.1,1.11,0.8542,0.0660,0.0856,2104.365,1.256,23.954
78.3,1.16,0.8533,0.0551,0.0746,1834.422,1.095,19.986
81.6,1.20,0.8426,0.0440,0.0629,1545.090,0.922,15.960
84.8,1.25,0.8148,0.0328,0.0505,1240.099,0.740,11.912
88.1,1.30,0.7520,0.0217,0.0375,922.431,0.551,7.873
91.4,1.35,0.5962,0.0107,0.0242,595.068,0.355,3.883
94.6,1.40,-0.0034,0.0000,0.0107,263.978,0.157,-0.009
