# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1497,0.1084,0.746,0.006,0.214
0.2,0.05,0.0642,0.1492,0.1099,0.746,0.006,0.214
0.4,0.09,0.1259,0.1487,0.1117,0.746,0.006,0.209
0.6,0.14,0.1850,0.1483,0.1136,0.746,0.007,0.209
0.8,0.19,0.2411,0.1478,0.1159,0.746,0.007,0.209
1.0,0.24,0.2940,0.1472,0.1183,0.746,0.007,0.209
1.2,0.28,0.3436,0.1465,0.1209,0.746,0.007,0.209
1.4,0.33,0.3897,0.1457,0.1237,0.746,0.007,0.205
1.6,0.38,0.4324,0.1447,0.1265,0.746,0.007,0.205
1.8,0.43,0.4717,0.1434,0.1293,0.746,0.007,0.205
2.0,0.47,0.5077,0.1418,0.1320,0.746,0.008,0.200
2.2,0.52,0.5406,0.1398,0.1344,0.746,0.008,0.200
2.4,0.57,0.5706,0.1372,0.1364,0.746,0.008,0.196
2.6,0.61,0.5979,0.1340,0.1377,0.746,0.008,0.191
2.8,0.66,0.6226,0.1302,0.1384,0.746,0.008,0.182
3.0,0.71,0.6450,0.1256,0.1381,0.746,0.008,0.178
3.2,0.76,0.6652,0.1202,0.1367,0.746,0.008,0.169
3.4,0.80,0.6830,0.1140,0.1341,0.746,0.008,0.160
3.6,0.85,0.6982,0.1069,0.1303,0.746,0.007,0.151
3.8,0.90,0.7102,0.0991,0.1253,0.746,0.007,0.142
4.0,0.95,0.7183,0.0906,0.1192,0.746,0.007,0.129
4.2,0.99,0.7212,0.0815,0.1121,0.746,0.006,0.116
4.4,1.04,0.7174,0.0720,0.1044,0.746,0.006,0.102
4.6,1.09,0.7047,0.0622,0.0959,0.746,0.006,0.089
4.8,1.13,0.6799,0.0521,0.0869,0.746,0.005,0.076
5.0,1.18,0.6382,0.0418,0.0774,0.746,0.004,0.058
5.2,1.23,0.5719,0.0314,0.0675,0.746,0.004,0.044
5.4,1.28,0.4674,0.0210,0.0572,0.000,0.003,0.031
5.6,1.32,0.2992,0.0106,0.0468,0.000,0.003,0.013
5.8,1.37,0.0120,0.0003,0.0361,0.000,0.002,0.000
