# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1507,0.0965,37.285,0.088,3.416
0.8,0.05,0.0735,0.1503,0.0981,38.031,0.090,3.407
1.6,0.10,0.1440,0.1499,0.0999,38.031,0.092,3.398
2.4,0.14,0.2110,0.1495,0.1020,39.522,0.094,3.390
3.2,0.19,0.2742,0.1491,0.1044,40.268,0.096,3.381
4.1,0.24,0.3333,0.1486,0.1070,41.013,0.098,3.372
4.9,0.29,0.3881,0.1481,0.1098,42.505,0.101,3.358
5.7,0.34,0.4387,0.1473,0.1128,43.251,0.103,3.341
6.5,0.38,0.4849,0.1464,0.1159,44.742,0.106,3.318
7.3,0.43,0.5271,0.1452,0.1189,45.488,0.109,3.292
8.1,0.48,0.5652,0.1435,0.1218,46.979,0.112,3.256
8.9,0.53,0.5997,0.1415,0.1245,47.725,0.114,3.207
9.7,0.58,0.6309,0.1389,0.1267,48.470,0.116,3.149
10.6,0.62,0.6591,0.1356,0.1283,49.216,0.118,3.074
11.4,0.67,0.6845,0.1316,0.1291,49.216,0.118,2.985
12.2,0.72,0.7077,0.1268,0.1289,49.216,0.118,2.878
13.0,0.77,0.7286,0.1211,0.1276,49.216,0.117,2.749
13.8,0.82,0.7475,0.1146,0.1250,47.725,0.115,2.598
14.6,0.86,0.7643,0.1072,0.1211,46.233,0.111,2.433
15.4,0.91,0.7786,0.0990,0.1159,44.742,0.106,2.246
16.2,0.96,0.7899,0.0902,0.1095,41.759,0.100,2.046
17.1,1.01,0.7974,0.0809,0.1021,39.522,0.094,1.833
17.9,1.06,0.7999,0.0712,0.0939,35.794,0.086,1.615
18.7,1.10,0.7955,0.0612,0.0849,32.811,0.078,1.388
19.5,1.15,0.7814,0.0510,0.0752,29.082,0.069,1.157
20.3,1.20,0.7529,0.0407,0.0649,24.608,0.059,0.925
21.1,1.25,0.7010,0.0304,0.0541,20.880,0.050,0.689
21.9,1.30,0.6071,0.0201,0.0429,16.405,0.039,0.454
22.7,1.34,0.4251,0.0099,0.0314,11.931,0.029,0.227
23.6,1.39,0.0001,0.0000,0.0197,7.457,0.018,0.000
