# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1519,0.0935,1232.642,0.906,36.400
2.7,0.05,0.0769,0.1517,0.0951,1254.267,0.921,36.333
5.3,0.10,0.1505,0.1514,0.0970,1278.130,0.939,36.271
8.0,0.14,0.2206,0.1512,0.0991,1307.212,0.960,36.217
10.6,0.19,0.2866,0.1509,0.1016,1339.277,0.984,36.164
13.3,0.24,0.3483,0.1507,0.1043,1375.071,1.010,36.102
15.9,0.29,0.4054,0.1504,0.1073,1414.593,1.039,36.022
18.6,0.34,0.4579,0.1499,0.1105,1456.352,1.070,35.910
21.2,0.39,0.5058,0.1492,0.1138,1500.348,1.102,35.755
23.9,0.43,0.5492,0.1483,0.1172,1545.090,1.135,35.528
26.5,0.48,0.5883,0.1470,0.1205,1588.341,1.167,35.221
29.2,0.53,0.6236,0.1452,0.1235,1628.609,1.196,34.798
31.8,0.58,0.6553,0.1429,0.1262,1663.656,1.222,34.238
34.5,0.63,0.6840,0.1399,0.1282,1689.756,1.241,33.513
37.1,0.68,0.7099,0.1361,0.1294,1706.161,1.253,32.605
39.8,0.72,0.7335,0.1314,0.1296,1707.653,1.255,31.485
42.5,0.77,0.7552,0.1258,0.1285,1694.230,1.244,30.137
45.1,0.82,0.7751,0.1192,0.1260,1661.419,1.221,28.553
47.8,0.87,0.7933,0.1116,0.1221,1609.966,1.183,26.743
50.4,0.92,0.8098,0.1032,0.1167,1539.125,1.131,24.723
53.1,0.96,0.8241,0.0940,0.1100,1450.386,1.066,22.530
55.7,1.01,0.8358,0.0843,0.1022,1346.734,0.989,20.208
58.4,1.06,0.8441,0.0742,0.0933,1229.659,0.903,17.784
61.0,1.11,0.8475,0.0638,0.0835,1100.653,0.809,15.289
63.7,1.16,0.8441,0.0532,0.0729,961.207,0.706,12.744
66.3,1.21,0.8300,0.0424,0.0616,812.067,0.597,10.164
69.0,1.25,0.7974,0.0316,0.0497,655.470,0.482,7.575
71.6,1.30,0.7277,0.0209,0.0373,492.162,0.362,5.000
74.3,1.35,0.5636,0.0103,0.0246,324.379,0.238,2.464
76.9,1.40,-0.0062,-0.0001,0.0117,154.360,0.113,-0.013
