# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1335,0.0671,885.146,0.650,31.996
2.2,0.04,0.0784,0.1332,0.0687,905.280,0.665,31.907
4.4,0.08,0.1527,0.1328,0.0703,927.651,0.681,31.814
6.7,0.12,0.2224,0.1323,0.0722,951.513,0.699,31.698
8.9,0.16,0.2874,0.1318,0.0741,977.613,0.718,31.565
11.1,0.20,0.3477,0.1311,0.0762,1004.458,0.738,31.400
13.3,0.24,0.4033,0.1302,0.0783,1032.794,0.759,31.195
15.6,0.28,0.4542,0.1292,0.0805,1061.131,0.779,30.942
17.8,0.32,0.5006,0.1278,0.0826,1088.722,0.800,30.622
20.0,0.36,0.5429,0.1262,0.0846,1114.821,0.819,30.226
22.2,0.40,0.5812,0.1241,0.0864,1138.684,0.836,29.741
24.5,0.44,0.6160,0.1217,0.0878,1158.072,0.851,29.145
26.7,0.49,0.6477,0.1187,0.0889,1172.240,0.861,28.437
28.9,0.53,0.6764,0.1152,0.0895,1179.697,0.867,27.597
31.1,0.57,0.7026,0.1111,0.0895,1179.697,0.867,26.614
33.4,0.61,0.7266,0.1064,0.0888,1170.749,0.860,25.488
35.6,0.65,0.7484,0.1011,0.0874,1151.361,0.846,24.212
37.8,0.69,0.7682,0.0951,0.0851,1122.278,0.824,22.784
40.1,0.73,0.7859,0.0885,0.0820,1081.265,0.794,21.214
42.3,0.77,0.8015,0.0815,0.0781,1029.812,0.756,19.519
44.5,0.81,0.8144,0.0740,0.0734,968.664,0.711,17.722
46.7,0.85,0.8243,0.0662,0.0681,898.568,0.660,15.849
49.0,0.89,0.8301,0.0581,0.0622,820.270,0.603,13.914
51.2,0.93,0.8305,0.0498,0.0558,736.006,0.540,11.939
53.4,0.97,0.8233,0.0415,0.0489,644.285,0.473,9.933
55.6,1.01,0.8043,0.0330,0.0415,547.344,0.402,7.913
57.9,1.05,0.7655,0.0246,0.0338,445.183,0.327,5.889
60.1,1.09,0.6882,0.0162,0.0257,339.293,0.249,3.888
62.3,1.13,0.5180,0.0080,0.0175,230.421,0.169,1.917
64.5,1.17,0.0002,0.0000,0.0091,120.058,0.088,0.000
