# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1332,0.0671,535.413,0.465,22.837
1.9,0.04,0.0783,0.1328,0.0686,548.089,0.476,22.770
3.8,0.08,0.1523,0.1323,0.0703,561.512,0.487,22.695
5.7,0.12,0.2218,0.1318,0.0721,575.680,0.500,22.606
7.5,0.16,0.2866,0.1312,0.0740,591.340,0.513,22.499
9.4,0.20,0.3467,0.1304,0.0760,607.745,0.527,22.370
11.3,0.24,0.4020,0.1295,0.0781,624.151,0.542,22.210
13.2,0.28,0.4527,0.1283,0.0802,640.556,0.556,22.014
15.1,0.32,0.4990,0.1269,0.0823,656.962,0.570,21.770
16.9,0.36,0.5411,0.1252,0.0842,672.621,0.584,21.476
18.8,0.40,0.5794,0.1231,0.0859,686.044,0.596,21.111
20.7,0.44,0.6141,0.1205,0.0873,697.229,0.605,20.675
22.6,0.49,0.6456,0.1175,0.0883,705.432,0.612,20.159
24.5,0.53,0.6742,0.1140,0.0888,709.906,0.616,19.545
26.4,0.57,0.7003,0.1098,0.0888,709.161,0.616,18.838
28.2,0.61,0.7241,0.1051,0.0880,703.195,0.611,18.029
30.1,0.65,0.7457,0.0998,0.0866,691.264,0.600,17.117
32.0,0.69,0.7651,0.0939,0.0843,673.367,0.585,16.098
33.9,0.73,0.7825,0.0873,0.0812,648.759,0.563,14.977
35.8,0.77,0.7975,0.0803,0.0774,618.185,0.536,13.776
37.7,0.81,0.8098,0.0729,0.0728,581.646,0.505,12.504
39.5,0.85,0.8188,0.0652,0.0676,539.887,0.469,11.178
41.4,0.89,0.8235,0.0572,0.0618,493.653,0.428,9.813
43.3,0.93,0.8225,0.0491,0.0555,442.946,0.385,8.416
45.2,0.97,0.8134,0.0408,0.0487,388.510,0.338,6.997
47.1,1.01,0.7919,0.0325,0.0415,331.091,0.288,5.574
49.0,1.05,0.7498,0.0242,0.0339,270.689,0.235,4.150
50.8,1.09,0.6683,0.0160,0.0261,208.050,0.181,2.736
52.7,1.13,0.4947,0.0079,0.0180,143.920,0.125,1.348
54.6,1.17,0.0004,0.0000,0.0098,78.298,0.068,0.000
