# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1325,0.0680,140.192,0.191,9.203
1.2,0.04,0.0767,0.1320,0.0695,143.174,0.195,9.168
2.4,0.08,0.1493,0.1315,0.0711,146.157,0.200,9.132
3.6,0.12,0.2176,0.1309,0.0729,149.886,0.205,9.092
4.8,0.16,0.2812,0.1302,0.0748,153.614,0.210,9.043
6.0,0.20,0.3403,0.1293,0.0767,158.088,0.215,8.981
7.2,0.24,0.3948,0.1283,0.0787,161.817,0.221,8.910
8.4,0.28,0.4448,0.1271,0.0807,166.291,0.227,8.825
9.6,0.32,0.4905,0.1255,0.0827,170.020,0.232,8.719
10.8,0.36,0.5321,0.1237,0.0845,173.748,0.237,8.594
12.0,0.40,0.5699,0.1215,0.0861,177.477,0.242,8.438
13.2,0.44,0.6043,0.1189,0.0874,179.714,0.245,8.256
14.4,0.48,0.6355,0.1158,0.0883,181.951,0.248,8.042
15.6,0.53,0.6639,0.1122,0.0887,182.696,0.249,7.793
16.8,0.57,0.6896,0.1080,0.0885,181.951,0.249,7.504
17.9,0.61,0.7130,0.1033,0.0878,180.459,0.246,7.175
19.1,0.65,0.7341,0.0980,0.0862,177.477,0.242,6.806
20.3,0.69,0.7529,0.0921,0.0840,173.002,0.236,6.397
21.5,0.73,0.7694,0.0857,0.0809,166.291,0.227,5.952
22.7,0.77,0.7833,0.0787,0.0771,158.834,0.217,5.471
23.9,0.81,0.7940,0.0714,0.0727,149.886,0.204,4.964
25.1,0.85,0.8010,0.0639,0.0676,139.446,0.190,4.435
26.3,0.89,0.8031,0.0560,0.0620,127.515,0.174,3.892
27.5,0.93,0.7986,0.0481,0.0559,114.838,0.157,3.341
28.7,0.97,0.7850,0.0400,0.0494,101.415,0.139,2.776
29.9,1.01,0.7575,0.0318,0.0424,87.247,0.119,2.211
31.1,1.05,0.7078,0.0237,0.0352,72.333,0.099,1.646
32.3,1.09,0.6172,0.0157,0.0276,56.673,0.078,1.085
33.5,1.13,0.4385,0.0077,0.0199,41.013,0.056,0.538
34.7,1.17,0.0012,0.0000,0.0121,24.608,0.034,0.000
