# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1209,0.0516,38.776,0.074,4.288
0.6,0.03,0.0668,0.1196,0.0525,39.522,0.075,4.239
1.2,0.06,0.1299,0.1181,0.0534,40.268,0.076,4.186
1.9,0.09,0.1892,0.1165,0.0542,41.013,0.078,4.128
2.5,0.12,0.2448,0.1147,0.0550,41.013,0.079,4.066
3.1,0.15,0.2968,0.1127,0.0557,41.759,0.080,3.995
3.7,0.18,0.3454,0.1106,0.0563,42.505,0.081,3.919
4.3,0.21,0.3906,0.1081,0.0568,42.505,0.081,3.834
5.0,0.23,0.4327,0.1055,0.0572,43.251,0.082,3.741
5.6,0.26,0.4717,0.1026,0.0574,43.251,0.082,3.639
6.2,0.29,0.5078,0.0995,0.0575,43.251,0.082,3.527
6.8,0.32,0.5412,0.0961,0.0573,43.251,0.082,3.403
7.4,0.35,0.5718,0.0924,0.0569,42.505,0.081,3.274
8.1,0.38,0.5998,0.0884,0.0562,42.505,0.081,3.132
8.7,0.41,0.6252,0.0842,0.0553,41.759,0.079,2.980
9.3,0.44,0.6479,0.0796,0.0541,40.268,0.078,2.820
9.9,0.47,0.6678,0.0748,0.0526,39.522,0.075,2.651
10.6,0.50,0.6848,0.0698,0.0508,38.031,0.073,2.473
11.2,0.53,0.6984,0.0645,0.0487,36.539,0.070,2.286
11.8,0.56,0.7083,0.0590,0.0464,35.048,0.067,2.091
12.4,0.59,0.7138,0.0534,0.0439,32.811,0.063,1.890
13.0,0.62,0.7141,0.0476,0.0410,30.574,0.059,1.686
13.7,0.65,0.7079,0.0417,0.0380,28.337,0.054,1.477
14.3,0.67,0.6933,0.0358,0.0348,26.099,0.050,1.268
14.9,0.70,0.6676,0.0298,0.0314,23.862,0.045,1.054
15.5,0.73,0.6263,0.0237,0.0278,20.880,0.040,0.841
16.1,0.76,0.5619,0.0177,0.0240,17.897,0.034,0.627
16.8,0.79,0.4608,0.0117,0.0201,14.914,0.029,0.414
17.4,0.82,0.2958,0.0058,0.0161,11.931,0.023,0.205
18.0,0.85,0.0018,0.0000,0.0120,8.948,0.017,0.000
