# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1324,0.0612,2936.566,1.402,75.059
2.8,0.03,0.0696,0.1318,0.0624,2995.476,1.430,74.717
5.6,0.07,0.1356,0.1311,0.0637,3056.624,1.460,74.321
8.4,0.10,0.1981,0.1302,0.0650,3119.263,1.489,73.849
11.2,0.13,0.2570,0.1293,0.0663,3181.156,1.519,73.293
13.9,0.16,0.3124,0.1281,0.0675,3242.303,1.548,72.626
16.7,0.20,0.3643,0.1267,0.0687,3299.722,1.576,71.830
19.5,0.23,0.4128,0.1250,0.0698,3352.667,1.601,70.887
22.3,0.26,0.4581,0.1231,0.0708,3398.154,1.623,69.775
25.1,0.30,0.5004,0.1208,0.0716,3434.694,1.640,68.471
27.9,0.33,0.5397,0.1181,0.0721,3460.047,1.652,66.955
30.7,0.36,0.5763,0.1150,0.0723,3471.979,1.658,65.211
33.5,0.40,0.6104,0.1115,0.0722,3467.504,1.656,63.227
36.3,0.43,0.6419,0.1075,0.0718,3445.133,1.645,60.981
39.1,0.46,0.6711,0.1031,0.0709,3402.629,1.625,58.476
41.8,0.49,0.6980,0.0982,0.0696,3339.244,1.594,55.710
44.6,0.53,0.7227,0.0929,0.0678,3253.489,1.553,52.680
47.4,0.56,0.7451,0.0871,0.0655,3143.871,1.501,49.398
50.2,0.59,0.7652,0.0809,0.0627,3009.645,1.437,45.870
53.0,0.63,0.7829,0.0743,0.0594,2852.302,1.362,42.138
55.8,0.66,0.7976,0.0674,0.0557,2674.080,1.277,38.232
58.6,0.69,0.8088,0.0603,0.0516,2476.469,1.182,34.193
61.4,0.72,0.8156,0.0530,0.0471,2260.216,1.079,30.039
64.2,0.76,0.8162,0.0455,0.0422,2027.558,0.968,25.800
66.9,0.79,0.8078,0.0379,0.0371,1781.477,0.851,21.494
69.7,0.82,0.7854,0.0302,0.0317,1522.719,0.727,17.152
72.5,0.86,0.7390,0.0226,0.0262,1255.759,0.600,12.798
75.3,0.89,0.6479,0.0149,0.0205,982.832,0.469,8.461
78.1,0.92,0.4595,0.0074,0.0148,709.161,0.339,4.172
80.9,0.96,-0.0047,0.0000,0.0091,438.472,0.209,-0.027
