# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1287,0.0557,577.172,0.460,26.271
1.7,0.03,0.0742,0.1278,0.0570,590.594,0.470,26.089
3.4,0.07,0.1439,0.1268,0.0583,604.017,0.481,25.880
5.0,0.10,0.2092,0.1256,0.0596,617.439,0.492,25.640
6.7,0.13,0.2700,0.1243,0.0609,631.608,0.502,25.368
8.4,0.17,0.3265,0.1227,0.0622,644.285,0.513,25.052
10.1,0.20,0.3788,0.1210,0.0634,656.962,0.523,24.692
11.8,0.23,0.4272,0.1190,0.0645,668.147,0.532,24.283
13.4,0.26,0.4718,0.1167,0.0654,678.587,0.540,23.816
15.1,0.30,0.5129,0.1141,0.0662,686.044,0.546,23.286
16.8,0.33,0.5508,0.1112,0.0667,692.009,0.551,22.690
18.5,0.36,0.5856,0.1079,0.0670,694.992,0.553,22.023
20.2,0.40,0.6177,0.1042,0.0670,694.247,0.553,21.280
21.8,0.43,0.6472,0.1002,0.0666,690.518,0.549,20.457
23.5,0.46,0.6742,0.0958,0.0658,682.315,0.543,19.554
25.2,0.50,0.6988,0.0910,0.0646,669.638,0.533,18.571
26.9,0.53,0.7212,0.0858,0.0629,652.487,0.519,17.513
28.6,0.56,0.7411,0.0802,0.0608,630.862,0.502,16.374
30.2,0.60,0.7585,0.0743,0.0583,604.763,0.481,15.164
31.9,0.63,0.7731,0.0681,0.0553,573.443,0.456,13.896
33.6,0.66,0.7844,0.0616,0.0519,538.395,0.429,12.575
35.3,0.69,0.7918,0.0550,0.0482,499.619,0.398,11.223
37.0,0.73,0.7942,0.0482,0.0441,457.860,0.364,9.835
38.6,0.76,0.7901,0.0413,0.0397,412.372,0.328,8.429
40.3,0.79,0.7769,0.0343,0.0351,363.902,0.289,7.006
42.0,0.83,0.7502,0.0273,0.0301,312.448,0.249,5.578
43.7,0.86,0.7014,0.0203,0.0249,258.758,0.206,4.155
45.4,0.89,0.6123,0.0134,0.0196,202.830,0.161,2.740
47.0,0.93,0.4354,0.0066,0.0141,145.411,0.116,1.348
48.7,0.96,-0.0042,0.0000,0.0084,87.247,0.070,-0.009
