# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1319,0.0588,2419.050,1.216,67.493
2.7,0.03,0.0721,0.1312,0.0600,2471.249,1.242,67.164
5.3,0.07,0.1402,0.1305,0.0614,2525.685,1.270,66.772
8.0,0.10,0.2044,0.1296,0.0627,2581.613,1.298,66.314
10.6,0.13,0.2646,0.1285,0.0641,2637.540,1.326,65.776
13.3,0.16,0.3208,0.1273,0.0654,2691.977,1.353,65.135
15.9,0.20,0.3733,0.1258,0.0667,2744.921,1.380,64.379
18.6,0.23,0.4220,0.1241,0.0679,2793.392,1.404,63.489
21.2,0.26,0.4672,0.1220,0.0689,2836.642,1.426,62.449
23.9,0.30,0.5090,0.1197,0.0698,2871.690,1.443,61.234
26.5,0.33,0.5478,0.1169,0.0704,2897.044,1.456,59.837
29.2,0.36,0.5836,0.1138,0.0707,2911.212,1.463,58.236
31.8,0.40,0.6167,0.1102,0.0707,2911.958,1.463,56.417
34.5,0.43,0.6473,0.1063,0.0704,2897.044,1.456,54.380
37.1,0.46,0.6755,0.1018,0.0696,2864.979,1.440,52.111
39.8,0.49,0.7014,0.0969,0.0684,2813.526,1.414,49.611
42.4,0.53,0.7252,0.0916,0.0667,2743.430,1.379,46.884
45.1,0.56,0.7468,0.0859,0.0644,2652.454,1.333,43.935
47.7,0.59,0.7662,0.0797,0.0617,2540.599,1.277,40.772
50.4,0.63,0.7833,0.0731,0.0585,2408.611,1.210,37.432
53.1,0.66,0.7975,0.0663,0.0549,2257.979,1.135,33.944
55.7,0.69,0.8085,0.0593,0.0508,2090.197,1.051,30.341
58.4,0.73,0.8152,0.0521,0.0463,1906.755,0.958,26.640
61.0,0.76,0.8163,0.0447,0.0415,1709.144,0.859,22.868
63.7,0.79,0.8091,0.0372,0.0364,1498.111,0.753,19.043
66.3,0.82,0.7892,0.0297,0.0310,1275.892,0.641,15.186
69.0,0.86,0.7476,0.0221,0.0254,1044.726,0.525,11.321
71.6,0.89,0.6645,0.0146,0.0196,806.102,0.405,7.477
74.3,0.92,0.4856,0.0072,0.0137,563.749,0.283,3.688
76.9,0.96,-0.0051,0.0000,0.0078,321.397,0.162,-0.022
