# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1014,0.0395,4301.197,2.738,124.203
2.3,0.03,0.0659,0.1004,0.0400,4357.870,2.775,123.073
4.7,0.05,0.1288,0.0994,0.0405,4413.052,2.809,121.792
7.0,0.08,0.1887,0.0982,0.0410,4463.759,2.842,120.338
9.3,0.10,0.2456,0.0969,0.0414,4509.247,2.871,118.692
11.7,0.13,0.2997,0.0954,0.0417,4547.278,2.895,116.837
14.0,0.16,0.3508,0.0936,0.0420,4577.852,2.914,114.746
16.3,0.18,0.3992,0.0917,0.0422,4597.985,2.928,112.407
18.7,0.21,0.4448,0.0896,0.0423,4606.934,2.933,109.800
21.0,0.24,0.4877,0.0873,0.0423,4603.205,2.930,106.909
23.3,0.26,0.5279,0.0846,0.0421,4583.817,2.918,103.719
25.7,0.29,0.5655,0.0818,0.0418,4548.024,2.896,100.223
28.0,0.31,0.6005,0.0787,0.0413,4494.333,2.862,96.406
30.3,0.34,0.6329,0.0753,0.0406,4421.255,2.815,92.274
32.7,0.37,0.6628,0.0717,0.0397,4327.296,2.755,87.812
35.0,0.39,0.6901,0.0678,0.0386,4209.476,2.680,83.026
37.3,0.42,0.7149,0.0636,0.0374,4069.284,2.591,77.933
39.7,0.45,0.7369,0.0592,0.0359,3905.230,2.486,72.564
42.0,0.47,0.7557,0.0546,0.0342,3721.042,2.369,66.959
44.3,0.50,0.7708,0.0499,0.0323,3515.975,2.238,61.145
46.7,0.52,0.7817,0.0450,0.0302,3292.265,2.096,55.158
49.0,0.55,0.7874,0.0400,0.0280,3049.912,1.942,49.024
51.3,0.58,0.7866,0.0349,0.0256,2790.409,1.777,42.770
53.7,0.60,0.7768,0.0297,0.0231,2515.991,1.602,36.431
56.0,0.63,0.7542,0.0245,0.0205,2228.897,1.419,30.025
58.3,0.66,0.7122,0.0193,0.0177,1932.854,1.230,23.602
60.7,0.68,0.6395,0.0140,0.0150,1630.100,1.038,17.188
63.0,0.71,0.5148,0.0088,0.0122,1325.854,0.844,10.840
65.3,0.73,0.2932,0.0038,0.0094,1024.592,0.652,4.599
