# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0950,0.0334,369.867,0.505,25.346
1.1,0.03,0.0720,0.0938,0.0341,377.324,0.514,25.039
2.2,0.05,0.1396,0.0926,0.0347,384.035,0.524,24.705
3.3,0.08,0.2028,0.0912,0.0353,390.747,0.533,24.336
4.3,0.10,0.2617,0.0897,0.0358,396.712,0.541,23.927
5.4,0.13,0.3166,0.0880,0.0363,401.932,0.549,23.482
6.5,0.16,0.3676,0.0862,0.0368,407.152,0.555,22.988
7.6,0.18,0.4149,0.0842,0.0371,410.881,0.561,22.455
8.7,0.21,0.4586,0.0820,0.0374,413.863,0.564,21.872
9.8,0.24,0.4991,0.0796,0.0375,415.355,0.567,21.240
10.8,0.26,0.5363,0.0770,0.0375,415.355,0.567,20.551
11.9,0.29,0.5706,0.0742,0.0374,413.863,0.565,19.812
13.0,0.31,0.6020,0.0713,0.0371,410.881,0.561,19.016
14.1,0.34,0.6306,0.0681,0.0367,406.406,0.554,18.167
15.2,0.37,0.6565,0.0647,0.0361,398.949,0.544,17.259
16.3,0.39,0.6797,0.0611,0.0352,390.001,0.532,16.294
17.3,0.42,0.7001,0.0573,0.0342,378.816,0.517,15.280
18.4,0.44,0.7176,0.0533,0.0330,365.393,0.498,14.217
19.5,0.47,0.7319,0.0492,0.0316,349.733,0.477,13.118
20.6,0.50,0.7427,0.0449,0.0300,332.582,0.454,11.984
21.7,0.52,0.7494,0.0405,0.0283,313.194,0.427,10.818
22.8,0.55,0.7512,0.0361,0.0264,292.314,0.398,9.635
23.9,0.58,0.7470,0.0316,0.0243,269.198,0.367,8.429
24.9,0.60,0.7350,0.0270,0.0221,244.590,0.334,7.211
26.0,0.63,0.7125,0.0224,0.0198,218.490,0.298,5.987
27.1,0.65,0.6749,0.0178,0.0173,190.899,0.261,4.760
28.2,0.68,0.6142,0.0133,0.0147,162.563,0.222,3.541
29.3,0.71,0.5145,0.0087,0.0120,132.735,0.181,2.331
30.4,0.73,0.3409,0.0043,0.0092,102.161,0.139,1.143
31.4,0.76,-0.0056,0.0000,0.0064,70.841,0.096,-0.013
