# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0942,0.0339,136.463,0.261,12.824
0.8,0.03,0.0704,0.0930,0.0345,139.446,0.266,12.664
1.5,0.05,0.1365,0.0917,0.0351,141.683,0.270,12.491
2.3,0.08,0.1985,0.0903,0.0357,143.920,0.275,12.299
3.1,0.10,0.2563,0.0888,0.0362,146.157,0.279,12.090
3.9,0.13,0.3102,0.0871,0.0367,147.649,0.283,11.863
4.6,0.16,0.3603,0.0853,0.0371,149.886,0.286,11.610
5.4,0.18,0.4068,0.0833,0.0374,150.631,0.288,11.339
6.2,0.21,0.4498,0.0811,0.0377,152.123,0.290,11.040
7.0,0.24,0.4896,0.0787,0.0378,152.868,0.291,10.720
7.7,0.26,0.5262,0.0762,0.0378,152.868,0.291,10.369
8.5,0.29,0.5598,0.0734,0.0377,152.123,0.290,9.995
9.3,0.31,0.5906,0.0705,0.0374,150.631,0.288,9.590
10.1,0.34,0.6185,0.0673,0.0369,149.140,0.285,9.163
10.8,0.37,0.6437,0.0639,0.0363,146.157,0.280,8.701
11.6,0.39,0.6661,0.0603,0.0355,143.174,0.274,8.216
12.4,0.42,0.6855,0.0566,0.0345,139.446,0.266,7.704
13.2,0.44,0.7019,0.0526,0.0333,134.226,0.257,7.166
13.9,0.47,0.7149,0.0486,0.0319,129.006,0.246,6.615
14.7,0.50,0.7242,0.0444,0.0304,122.295,0.234,6.041
15.5,0.52,0.7291,0.0401,0.0287,115.583,0.221,5.454
16.3,0.55,0.7287,0.0357,0.0269,108.126,0.207,4.857
17.0,0.57,0.7220,0.0312,0.0248,99.924,0.191,4.252
17.8,0.60,0.7071,0.0267,0.0227,91.721,0.175,3.639
18.6,0.63,0.6811,0.0222,0.0204,82.027,0.157,3.020
19.3,0.65,0.6397,0.0176,0.0180,72.333,0.139,2.402
20.1,0.68,0.5752,0.0131,0.0155,62.639,0.119,1.788
20.9,0.71,0.4735,0.0087,0.0129,52.199,0.099,1.179
21.7,0.73,0.3053,0.0043,0.0102,41.013,0.079,0.578
22.4,0.76,-0.0029,0.0000,0.0075,29.828,0.058,-0.004
