# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1003,0.0362,3208.001,2.188,107.046
2.2,0.03,0.0702,0.0993,0.0368,3263.183,2.226,106.010
4.3,0.05,0.1366,0.0982,0.0375,3316.873,2.263,104.840
6.5,0.08,0.1992,0.0970,0.0380,3368.326,2.298,103.528
8.6,0.10,0.2581,0.0956,0.0386,3416.797,2.331,102.047
10.8,0.13,0.3134,0.0941,0.0391,3460.793,2.361,100.392
13.0,0.16,0.3651,0.0923,0.0395,3498.824,2.387,98.546
15.1,0.18,0.4135,0.0904,0.0399,3530.143,2.408,96.491
17.3,0.21,0.4585,0.0883,0.0401,3551.768,2.423,94.218
19.5,0.23,0.5004,0.0859,0.0402,3563.700,2.431,91.705
21.6,0.26,0.5394,0.0833,0.0402,3563.700,2.431,88.951
23.8,0.29,0.5754,0.0805,0.0401,3550.277,2.422,85.944
25.9,0.31,0.6087,0.0775,0.0398,3521.940,2.402,82.679
28.1,0.34,0.6394,0.0742,0.0393,3477.199,2.372,79.147
30.3,0.36,0.6676,0.0706,0.0386,3414.560,2.329,75.353
32.4,0.39,0.6933,0.0668,0.0376,3333.278,2.274,71.287
34.6,0.42,0.7165,0.0627,0.0365,3231.863,2.204,66.972
36.7,0.44,0.7371,0.0585,0.0351,3111.060,2.122,62.431
38.9,0.47,0.7551,0.0541,0.0336,2971.614,2.027,57.693
41.1,0.49,0.7702,0.0495,0.0318,2813.526,1.919,52.783
43.2,0.52,0.7818,0.0447,0.0298,2639.032,1.800,47.734
45.4,0.55,0.7892,0.0399,0.0276,2447.387,1.669,42.561
47.5,0.57,0.7914,0.0349,0.0253,2240.082,1.528,37.289
49.7,0.60,0.7866,0.0299,0.0228,2018.610,1.377,31.943
51.9,0.63,0.7719,0.0249,0.0201,1783.714,1.217,26.551
54.0,0.65,0.7423,0.0198,0.0174,1537.633,1.049,21.134
56.2,0.68,0.6886,0.0147,0.0145,1283.349,0.875,15.724
58.3,0.70,0.5917,0.0097,0.0115,1021.609,0.697,10.364
60.5,0.73,0.4063,0.0048,0.0086,757.631,0.517,5.084
62.7,0.76,-0.0098,-0.0001,0.0056,492.162,0.336,-0.076
