# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0939,0.0344,70.841,0.170,8.180
0.6,0.03,0.0691,0.0927,0.0350,72.333,0.173,8.078
1.2,0.05,0.1341,0.0914,0.0356,73.824,0.175,7.967
1.9,0.08,0.1949,0.0900,0.0361,74.570,0.178,7.842
2.5,0.10,0.2519,0.0885,0.0367,76.061,0.181,7.709
3.1,0.13,0.3050,0.0868,0.0371,76.807,0.183,7.562
3.7,0.16,0.3544,0.0850,0.0375,77.553,0.185,7.402
4.3,0.18,0.4002,0.0829,0.0379,78.298,0.187,7.228
4.9,0.21,0.4427,0.0808,0.0381,78.298,0.188,7.037
5.6,0.23,0.4819,0.0784,0.0382,79.044,0.188,6.832
6.2,0.26,0.5181,0.0759,0.0382,79.044,0.188,6.610
6.8,0.29,0.5513,0.0731,0.0381,78.298,0.188,6.370
7.4,0.31,0.5816,0.0702,0.0378,78.298,0.186,6.112
8.0,0.34,0.6091,0.0670,0.0373,76.807,0.184,5.841
8.7,0.37,0.6338,0.0637,0.0367,76.061,0.181,5.547
9.3,0.39,0.6556,0.0601,0.0359,73.824,0.177,5.236
9.9,0.42,0.6745,0.0563,0.0349,72.333,0.172,4.911
10.5,0.44,0.6901,0.0524,0.0337,69.350,0.166,4.568
11.1,0.47,0.7023,0.0484,0.0323,67.113,0.160,4.217
11.8,0.50,0.7106,0.0442,0.0308,63.384,0.152,3.852
12.4,0.52,0.7144,0.0399,0.0292,60.402,0.144,3.479
13.0,0.55,0.7127,0.0355,0.0273,56.673,0.135,3.096
13.6,0.57,0.7044,0.0311,0.0254,52.199,0.125,2.709
14.2,0.60,0.6876,0.0266,0.0232,47.725,0.115,2.322
14.8,0.63,0.6597,0.0221,0.0210,43.251,0.103,1.926
15.5,0.65,0.6161,0.0176,0.0186,38.776,0.092,1.535
16.1,0.68,0.5498,0.0131,0.0162,33.556,0.080,1.143
16.7,0.70,0.4476,0.0086,0.0136,28.337,0.067,0.752
17.3,0.73,0.2839,0.0043,0.0110,22.371,0.054,0.369
17.9,0.76,-0.0013,0.0000,0.0083,17.151,0.041,0.000
