# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0933,0.0368,9.694,0.045,2.033
0.3,0.03,0.0641,0.0922,0.0374,9.694,0.046,2.006
0.6,0.05,0.1246,0.0909,0.0379,9.694,0.047,1.979
0.9,0.08,0.1816,0.0895,0.0384,9.694,0.047,1.948
1.2,0.10,0.2351,0.0879,0.0389,9.694,0.048,1.917
1.5,0.13,0.2851,0.0863,0.0393,10.440,0.048,1.877
1.8,0.16,0.3318,0.0844,0.0397,10.440,0.049,1.837
2.2,0.18,0.3753,0.0824,0.0399,10.440,0.049,1.797
2.5,0.21,0.4157,0.0803,0.0401,10.440,0.049,1.748
2.8,0.23,0.4531,0.0779,0.0402,10.440,0.050,1.695
3.1,0.26,0.4875,0.0754,0.0402,10.440,0.049,1.641
3.4,0.29,0.5191,0.0726,0.0400,10.440,0.049,1.584
3.7,0.31,0.5479,0.0697,0.0397,10.440,0.049,1.517
4.0,0.34,0.5738,0.0666,0.0392,10.440,0.048,1.450
4.3,0.36,0.5968,0.0633,0.0386,9.694,0.048,1.379
4.6,0.39,0.6169,0.0598,0.0378,9.694,0.047,1.303
4.9,0.42,0.6338,0.0560,0.0368,9.694,0.045,1.219
5.2,0.44,0.6473,0.0522,0.0356,8.948,0.044,1.139
5.5,0.47,0.6569,0.0482,0.0343,8.948,0.042,1.050
5.9,0.49,0.6622,0.0440,0.0328,8.203,0.040,0.961
6.2,0.52,0.6626,0.0398,0.0312,8.203,0.038,0.867
6.5,0.55,0.6569,0.0354,0.0294,7.457,0.036,0.774
6.8,0.57,0.6441,0.0310,0.0276,7.457,0.034,0.676
7.1,0.60,0.6223,0.0266,0.0255,6.711,0.032,0.578
7.4,0.62,0.5890,0.0221,0.0234,5.966,0.029,0.480
7.7,0.65,0.5404,0.0176,0.0212,5.220,0.026,0.383
8.0,0.68,0.4707,0.0131,0.0188,5.220,0.023,0.285
8.3,0.70,0.3706,0.0087,0.0164,4.474,0.020,0.187
8.6,0.73,0.2238,0.0043,0.0139,3.728,0.017,0.093
8.9,0.75,-0.0004,0.0000,0.0114,2.983,0.014,0.000
