# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0955,0.0334,551.818,0.658,33.282
1.2,0.03,0.0725,0.0944,0.0340,562.258,0.671,32.886
2.5,0.05,0.1405,0.0931,0.0346,572.698,0.683,32.450
3.7,0.08,0.2041,0.0917,0.0353,582.392,0.695,31.969
5.0,0.10,0.2634,0.0902,0.0358,592.086,0.706,31.440
6.2,0.13,0.3186,0.0885,0.0363,600.288,0.717,30.857
7.4,0.16,0.3698,0.0867,0.0368,607.745,0.725,30.221
8.7,0.18,0.4173,0.0847,0.0371,613.711,0.733,29.523
9.9,0.21,0.4613,0.0825,0.0374,618.185,0.738,28.762
11.2,0.24,0.5020,0.0801,0.0376,620.422,0.741,27.930
12.4,0.26,0.5395,0.0776,0.0376,621.168,0.741,27.032
13.6,0.29,0.5740,0.0748,0.0375,618.931,0.739,26.062
14.9,0.31,0.6057,0.0718,0.0372,614.457,0.733,25.021
16.1,0.34,0.6346,0.0686,0.0367,607.000,0.725,23.905
17.4,0.37,0.6608,0.0652,0.0361,596.560,0.712,22.713
18.6,0.39,0.6843,0.0615,0.0353,582.392,0.696,21.449
19.8,0.42,0.7051,0.0577,0.0342,565.986,0.675,20.115
21.1,0.44,0.7231,0.0537,0.0330,545.107,0.651,18.718
22.3,0.47,0.7379,0.0496,0.0316,521.990,0.623,17.268
23.6,0.50,0.7494,0.0453,0.0300,495.890,0.592,15.778
24.8,0.52,0.7568,0.0409,0.0282,466.808,0.557,14.248
26.0,0.55,0.7595,0.0364,0.0263,434.743,0.519,12.686
27.3,0.58,0.7564,0.0318,0.0242,400.441,0.478,11.098
28.5,0.60,0.7458,0.0272,0.0220,363.156,0.433,9.497
29.7,0.63,0.7248,0.0226,0.0196,323.634,0.386,7.882
31.0,0.65,0.6889,0.0180,0.0171,281.875,0.336,6.268
32.2,0.68,0.6300,0.0134,0.0144,238.624,0.284,4.657
33.5,0.71,0.5317,0.0088,0.0117,193.136,0.230,3.069
34.7,0.73,0.3564,0.0043,0.0089,146.903,0.175,1.508
35.9,0.76,-0.0068,-0.0001,0.0060,99.178,0.118,-0.018
