# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0983,0.0341,1901.535,1.514,77.097
1.9,0.03,0.0730,0.0973,0.0348,1941.057,1.545,76.274
3.7,0.05,0.1414,0.0961,0.0355,1979.087,1.575,75.348
5.6,0.08,0.2054,0.0948,0.0361,2015.627,1.604,74.321
7.4,0.10,0.2651,0.0933,0.0368,2049.929,1.632,73.182
9.3,0.13,0.3206,0.0917,0.0373,2081.994,1.657,71.914
11.1,0.16,0.3723,0.0899,0.0378,2109.585,1.679,70.509
13.0,0.18,0.4203,0.0879,0.0382,2131.956,1.697,68.965
14.9,0.21,0.4648,0.0858,0.0385,2149.107,1.710,67.262
16.7,0.23,0.5060,0.0834,0.0387,2159.547,1.719,65.398
18.6,0.26,0.5441,0.0808,0.0388,2161.784,1.721,63.369
20.4,0.29,0.5793,0.0780,0.0387,2155.818,1.716,61.163
22.3,0.31,0.6118,0.0750,0.0384,2140.159,1.703,58.779
24.1,0.34,0.6416,0.0717,0.0379,2114.059,1.683,56.212
26.0,0.37,0.6689,0.0682,0.0372,2077.520,1.653,53.463
27.8,0.39,0.6937,0.0644,0.0364,2028.304,1.614,50.532
29.7,0.42,0.7160,0.0605,0.0353,1967.156,1.566,47.427
31.6,0.44,0.7356,0.0563,0.0340,1894.823,1.508,44.171
33.4,0.47,0.7525,0.0520,0.0325,1810.559,1.441,40.781
35.3,0.50,0.7663,0.0475,0.0308,1715.855,1.366,37.285
37.1,0.52,0.7766,0.0430,0.0289,1610.712,1.282,33.686
39.0,0.55,0.7827,0.0383,0.0268,1495.128,1.190,30.012
40.8,0.57,0.7835,0.0335,0.0246,1369.105,1.090,26.271
42.7,0.60,0.7775,0.0287,0.0221,1234.879,0.983,22.486
44.6,0.63,0.7622,0.0238,0.0196,1091.705,0.869,18.669
46.4,0.65,0.7330,0.0189,0.0169,940.328,0.748,14.848
48.3,0.68,0.6814,0.0141,0.0140,781.493,0.622,11.036
50.1,0.70,0.5897,0.0093,0.0111,617.439,0.491,7.264
52.0,0.73,0.4125,0.0045,0.0080,448.911,0.357,3.559
53.8,0.76,-0.0114,-0.0001,0.0050,276.655,0.220,-0.058
