# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0967,0.0336,1082.756,1.034,52.671
1.5,0.03,0.0730,0.0956,0.0342,1104.382,1.055,52.075
3.1,0.05,0.1414,0.0944,0.0349,1126.007,1.075,51.408
4.6,0.08,0.2054,0.0930,0.0355,1146.141,1.094,50.670
6.2,0.10,0.2651,0.0916,0.0361,1164.783,1.113,49.856
7.7,0.13,0.3206,0.0899,0.0366,1182.680,1.129,48.957
9.3,0.16,0.3722,0.0881,0.0371,1197.594,1.144,47.970
10.8,0.18,0.4201,0.0861,0.0375,1210.271,1.155,46.884
12.4,0.21,0.4644,0.0839,0.0378,1219.219,1.164,45.697
13.9,0.24,0.5054,0.0815,0.0379,1224.439,1.169,44.402
15.5,0.26,0.5432,0.0789,0.0380,1225.931,1.170,42.992
17.0,0.29,0.5781,0.0761,0.0379,1222.202,1.167,41.466
18.6,0.31,0.6102,0.0731,0.0376,1212.508,1.158,39.825
20.1,0.34,0.6396,0.0699,0.0371,1198.340,1.144,38.063
21.7,0.37,0.6664,0.0664,0.0365,1177.460,1.124,36.182
23.2,0.39,0.6905,0.0628,0.0356,1149.869,1.098,34.176
24.8,0.42,0.7121,0.0589,0.0346,1115.567,1.065,32.063
26.3,0.44,0.7309,0.0548,0.0333,1075.299,1.027,29.843
27.9,0.47,0.7468,0.0506,0.0319,1028.320,0.982,27.543
29.4,0.50,0.7594,0.0462,0.0302,975.375,0.931,25.168
31.0,0.52,0.7683,0.0417,0.0284,916.465,0.875,22.735
32.5,0.55,0.7727,0.0372,0.0264,852.335,0.814,20.244
34.1,0.57,0.7716,0.0325,0.0242,782.239,0.747,17.717
35.6,0.60,0.7634,0.0278,0.0219,706.923,0.675,15.160
37.2,0.63,0.7452,0.0231,0.0194,627.879,0.599,12.584
38.7,0.65,0.7127,0.0184,0.0168,543.615,0.519,10.004
40.3,0.68,0.6574,0.0137,0.0141,455.623,0.435,7.437
41.8,0.71,0.5621,0.0090,0.0113,363.902,0.348,4.893
43.4,0.73,0.3851,0.0044,0.0084,269.943,0.258,2.398
44.9,0.76,-0.0095,-0.0001,0.0054,174.494,0.166,-0.036
