# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0936,0.0353,30.574,0.098,4.586
0.5,0.03,0.0672,0.0924,0.0358,31.319,0.099,4.528
0.9,0.05,0.1304,0.0911,0.0364,32.065,0.101,4.466
1.4,0.08,0.1898,0.0897,0.0370,32.065,0.102,4.399
1.9,0.10,0.2454,0.0882,0.0375,32.811,0.104,4.324
2.3,0.13,0.2973,0.0865,0.0379,32.811,0.105,4.239
2.8,0.16,0.3457,0.0847,0.0383,33.556,0.106,4.150
3.2,0.18,0.3906,0.0827,0.0386,33.556,0.107,4.052
3.7,0.21,0.4323,0.0805,0.0388,33.556,0.108,3.946
4.2,0.23,0.4708,0.0781,0.0389,33.556,0.108,3.830
4.6,0.26,0.5063,0.0756,0.0389,33.556,0.108,3.705
5.1,0.29,0.5389,0.0729,0.0387,33.556,0.107,3.572
5.6,0.31,0.5686,0.0699,0.0384,33.556,0.107,3.425
6.0,0.34,0.5955,0.0668,0.0380,32.811,0.105,3.274
6.5,0.36,0.6195,0.0634,0.0374,32.811,0.104,3.109
6.9,0.39,0.6406,0.0599,0.0365,32.065,0.101,2.936
7.4,0.42,0.6587,0.0562,0.0355,31.319,0.099,2.753
7.9,0.44,0.6735,0.0523,0.0344,29.828,0.095,2.562
8.3,0.47,0.6846,0.0483,0.0330,29.082,0.092,2.366
8.8,0.49,0.6917,0.0441,0.0316,27.591,0.088,2.162
9.3,0.52,0.6940,0.0398,0.0299,26.099,0.083,1.953
9.7,0.55,0.6907,0.0355,0.0281,24.608,0.078,1.739
10.2,0.57,0.6805,0.0311,0.0262,23.117,0.073,1.521
10.7,0.60,0.6616,0.0266,0.0241,20.880,0.067,1.303
11.1,0.63,0.6312,0.0221,0.0219,19.388,0.061,1.085
11.6,0.65,0.5854,0.0176,0.0196,17.151,0.054,0.863
12.0,0.68,0.5173,0.0131,0.0172,14.914,0.048,0.641
12.5,0.70,0.4156,0.0087,0.0147,12.677,0.041,0.423
13.0,0.73,0.2589,0.0043,0.0121,10.440,0.034,0.209
13.4,0.76,0.0014,0.0000,0.0095,8.203,0.026,0.000
