# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0993,0.0347,2461.555,1.808,91.353
2.0,0.03,0.0724,0.0982,0.0354,2510.026,1.844,90.415
4.0,0.05,0.1404,0.0971,0.0361,2557.751,1.879,89.365
6.0,0.08,0.2042,0.0958,0.0367,2603.238,1.912,88.190
8.0,0.10,0.2638,0.0944,0.0373,2647.235,1.944,86.878
10.0,0.13,0.3194,0.0928,0.0379,2686.757,1.974,85.415
12.1,0.16,0.3711,0.0910,0.0384,2721.805,2.000,83.787
14.1,0.18,0.4192,0.0891,0.0388,2751.633,2.021,81.990
16.1,0.21,0.4637,0.0869,0.0391,2773.258,2.037,80.006
18.1,0.23,0.5051,0.0846,0.0393,2786.680,2.047,77.826
20.1,0.26,0.5433,0.0820,0.0394,2790.409,2.050,75.442
22.1,0.29,0.5787,0.0792,0.0392,2782.206,2.044,72.849
24.1,0.31,0.6113,0.0761,0.0390,2762.818,2.029,70.037
26.1,0.34,0.6414,0.0728,0.0385,2729.262,2.005,67.008
28.1,0.37,0.6690,0.0693,0.0378,2680.791,1.970,63.761
30.1,0.39,0.6941,0.0655,0.0369,2618.152,1.923,60.287
32.2,0.42,0.7168,0.0615,0.0358,2539.108,1.865,56.604
34.2,0.44,0.7369,0.0573,0.0345,2444.404,1.796,52.738
36.2,0.47,0.7543,0.0529,0.0329,2335.532,1.716,48.712
38.2,0.50,0.7688,0.0484,0.0312,2212.492,1.625,44.544
40.2,0.52,0.7798,0.0437,0.0293,2075.283,1.524,40.261
42.2,0.55,0.7867,0.0390,0.0271,1924.651,1.414,35.879
44.2,0.57,0.7885,0.0341,0.0248,1761.343,1.294,31.418
46.2,0.60,0.7836,0.0292,0.0224,1586.104,1.165,26.898
48.2,0.63,0.7695,0.0243,0.0197,1400.424,1.029,22.343
50.2,0.65,0.7415,0.0193,0.0170,1204.305,0.884,17.775
52.2,0.68,0.6911,0.0144,0.0141,999.238,0.734,13.216
54.3,0.70,0.5998,0.0095,0.0111,787.459,0.578,8.705
56.3,0.73,0.4208,0.0046,0.0080,570.460,0.419,4.266
58.3,0.76,-0.0114,-0.0001,0.0049,350.479,0.257,-0.067
