# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0946,0.0336,234.150,0.373,18.536
0.9,0.03,0.0714,0.0934,0.0342,238.624,0.380,18.309
1.9,0.05,0.1383,0.0921,0.0348,242.352,0.386,18.064
2.8,0.08,0.2010,0.0907,0.0354,246.827,0.393,17.788
3.7,0.10,0.2595,0.0892,0.0359,250.555,0.399,17.490
4.6,0.13,0.3139,0.0875,0.0364,254.284,0.404,17.161
5.6,0.16,0.3645,0.0857,0.0369,257.266,0.409,16.801
6.5,0.18,0.4115,0.0837,0.0372,259.504,0.413,16.405
7.4,0.21,0.4549,0.0815,0.0375,260.995,0.416,15.978
8.4,0.24,0.4950,0.0791,0.0376,261.741,0.417,15.511
9.3,0.26,0.5320,0.0766,0.0376,262.486,0.417,15.008
10.2,0.29,0.5660,0.0738,0.0375,260.995,0.416,14.466
11.1,0.31,0.5971,0.0708,0.0372,259.504,0.413,13.883
12.1,0.34,0.6254,0.0676,0.0367,255.775,0.408,13.260
13.0,0.37,0.6510,0.0643,0.0361,252.047,0.401,12.597
13.9,0.39,0.6738,0.0607,0.0353,246.081,0.392,11.895
14.9,0.42,0.6938,0.0569,0.0343,238.624,0.380,11.152
15.8,0.44,0.7107,0.0529,0.0331,230.421,0.367,10.378
16.7,0.47,0.7245,0.0488,0.0317,220.727,0.352,9.573
17.7,0.50,0.7345,0.0446,0.0302,210.287,0.335,8.745
18.6,0.52,0.7403,0.0403,0.0284,198.356,0.315,7.896
19.5,0.55,0.7412,0.0359,0.0266,184.934,0.295,7.033
20.4,0.57,0.7358,0.0314,0.0245,170.765,0.272,6.152
21.4,0.60,0.7224,0.0268,0.0223,155.851,0.248,5.262
22.3,0.63,0.6982,0.0223,0.0200,139.446,0.222,4.368
23.2,0.65,0.6588,0.0177,0.0176,122.295,0.195,3.474
24.2,0.68,0.5962,0.0132,0.0150,104.398,0.167,2.584
25.1,0.71,0.4954,0.0087,0.0124,86.501,0.137,1.704
26.0,0.73,0.3240,0.0043,0.0096,67.113,0.107,0.836
26.9,0.76,-0.0044,0.0000,0.0069,47.725,0.076,-0.009
