# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1020,0.0447,5911.909,3.529,142.254
2.5,0.03,0.0589,0.1012,0.0452,5971.565,3.564,141.098
5.0,0.05,0.1156,0.1003,0.0456,6026.001,3.597,139.768
7.5,0.08,0.1703,0.0992,0.0459,6072.980,3.625,138.242
10.0,0.11,0.2228,0.0979,0.0462,6109.519,3.647,136.494
12.5,0.13,0.2733,0.0965,0.0464,6135.619,3.662,134.505
15.0,0.16,0.3217,0.0949,0.0465,6148.295,3.670,132.246
17.5,0.18,0.3683,0.0930,0.0465,6146.058,3.668,129.692
19.9,0.21,0.4128,0.0910,0.0463,6126.670,3.657,126.819
22.4,0.24,0.4555,0.0887,0.0461,6088.639,3.634,123.607
24.9,0.26,0.4962,0.0861,0.0456,6031.221,3.600,120.040
27.4,0.29,0.5349,0.0833,0.0450,5952.176,3.552,116.099
29.9,0.32,0.5716,0.0802,0.0443,5850.015,3.491,111.779
32.4,0.34,0.6063,0.0768,0.0433,5723.992,3.416,107.073
34.9,0.37,0.6387,0.0731,0.0422,5572.615,3.326,101.975
37.4,0.39,0.6687,0.0692,0.0408,5395.139,3.220,96.486
39.9,0.42,0.6964,0.0650,0.0393,5190.817,3.098,90.624
42.4,0.45,0.7214,0.0606,0.0375,4960.396,2.961,84.436
44.9,0.47,0.7429,0.0559,0.0356,4709.095,2.811,77.955
47.4,0.50,0.7598,0.0511,0.0336,4440.643,2.650,71.225
49.9,0.53,0.7714,0.0461,0.0314,4155.040,2.480,64.277
52.4,0.55,0.7740,0.0410,0.0292,3864.962,2.307,57.137
54.8,0.58,0.7675,0.0358,0.0269,3562.208,2.126,49.856
57.3,0.60,0.7499,0.0305,0.0246,3246.777,1.938,42.463
59.8,0.63,0.7164,0.0251,0.0221,2923.889,1.745,35.008
62.3,0.66,0.6608,0.0197,0.0196,2595.781,1.550,27.526
64.8,0.68,0.5733,0.0144,0.0172,2269.165,1.354,20.070
67.3,0.71,0.4388,0.0091,0.0147,1948.514,1.163,12.704
69.8,0.74,0.2335,0.0039,0.0124,1639.048,0.978,5.485
