# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.3018,0.2066,12.677,0.012,1.094
0.6,0.04,0.0538,0.2991,0.2094,12.677,0.012,1.085
1.3,0.08,0.1052,0.2960,0.2122,12.677,0.012,1.072
1.9,0.11,0.1541,0.2924,0.2147,13.423,0.013,1.063
2.6,0.15,0.2006,0.2884,0.2169,13.423,0.013,1.045
3.2,0.19,0.2447,0.2838,0.2187,13.423,0.013,1.032
3.8,0.23,0.2865,0.2786,0.2200,13.423,0.013,1.010
4.5,0.26,0.3261,0.2725,0.2206,13.423,0.013,0.988
5.1,0.30,0.3637,0.2657,0.2204,13.423,0.013,0.965
5.7,0.34,0.3993,0.2581,0.2193,13.423,0.013,0.939
6.4,0.38,0.4330,0.2496,0.2173,13.423,0.013,0.907
7.0,0.41,0.4647,0.2404,0.2145,13.423,0.013,0.872
7.7,0.45,0.4945,0.2305,0.2109,12.677,0.012,0.836
8.3,0.49,0.5221,0.2200,0.2065,12.677,0.012,0.796
8.9,0.53,0.5474,0.2088,0.2014,12.677,0.012,0.756
9.6,0.57,0.5703,0.1972,0.1956,11.931,0.012,0.716
10.2,0.60,0.5905,0.1850,0.1890,11.931,0.011,0.672
10.9,0.64,0.6075,0.1724,0.1819,11.185,0.011,0.627
11.5,0.68,0.6210,0.1593,0.1741,10.440,0.010,0.578
12.1,0.72,0.6304,0.1458,0.1657,10.440,0.010,0.529
12.8,0.75,0.6349,0.1320,0.1567,9.694,0.009,0.480
13.4,0.79,0.6336,0.1178,0.1472,8.948,0.009,0.427
14.0,0.83,0.6250,0.1033,0.1372,8.203,0.008,0.374
14.7,0.87,0.6074,0.0887,0.1266,7.457,0.007,0.320
15.3,0.91,0.5782,0.0738,0.1156,7.457,0.007,0.267
16.0,0.94,0.5339,0.0590,0.1042,6.711,0.006,0.214
16.6,0.98,0.4688,0.0442,0.0924,5.966,0.005,0.160
17.2,1.02,0.3738,0.0295,0.0804,5.220,0.005,0.107
17.9,1.06,0.2322,0.0150,0.0681,4.474,0.004,0.053
18.5,1.09,0.0071,0.0004,0.0554,3.728,0.003,0.000
