# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.3028,0.2026,34.302,0.023,2.153
0.9,0.04,0.0553,0.3001,0.2055,34.302,0.024,2.135
1.8,0.08,0.1080,0.2970,0.2083,35.048,0.024,2.113
2.7,0.11,0.1580,0.2935,0.2109,35.794,0.024,2.086
3.6,0.15,0.2056,0.2895,0.2132,35.794,0.025,2.060
4.5,0.19,0.2506,0.2849,0.2152,36.539,0.025,2.028
5.4,0.23,0.2933,0.2796,0.2165,36.539,0.025,1.988
6.3,0.27,0.3338,0.2736,0.2172,36.539,0.025,1.944
7.2,0.30,0.3721,0.2667,0.2171,36.539,0.025,1.899
8.1,0.34,0.4084,0.2590,0.2161,36.539,0.025,1.842
9.0,0.38,0.4427,0.2505,0.2142,35.794,0.025,1.784
9.9,0.42,0.4751,0.2412,0.2114,35.794,0.024,1.717
10.8,0.45,0.5054,0.2312,0.2078,35.048,0.024,1.646
11.7,0.49,0.5337,0.2206,0.2034,34.302,0.023,1.570
12.6,0.53,0.5598,0.2094,0.1983,33.556,0.023,1.490
13.5,0.57,0.5835,0.1977,0.1924,32.811,0.022,1.406
14.4,0.61,0.6046,0.1854,0.1858,31.319,0.021,1.321
15.3,0.64,0.6226,0.1727,0.1785,29.828,0.021,1.228
16.2,0.68,0.6373,0.1595,0.1706,29.082,0.020,1.134
17.1,0.72,0.6481,0.1460,0.1620,27.591,0.019,1.036
17.9,0.76,0.6542,0.1321,0.1529,26.099,0.018,0.939
18.8,0.80,0.6546,0.1178,0.1431,23.862,0.016,0.836
19.7,0.83,0.6480,0.1033,0.1328,22.371,0.015,0.734
20.6,0.87,0.6327,0.0886,0.1219,20.880,0.014,0.632
21.5,0.91,0.6058,0.0737,0.1106,18.642,0.013,0.525
22.4,0.95,0.5636,0.0589,0.0988,16.405,0.011,0.418
23.3,0.98,0.4999,0.0441,0.0867,14.914,0.010,0.311
24.2,1.02,0.4041,0.0294,0.0744,12.677,0.009,0.209
25.1,1.06,0.2555,0.0149,0.0617,10.440,0.007,0.107
26.0,1.10,0.0046,0.0002,0.0485,8.203,0.006,0.000
