# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.3054,0.1989,169.274,0.067,6.383
1.6,0.04,0.0586,0.3027,0.2021,171.511,0.068,6.325
3.2,0.08,0.1142,0.2996,0.2052,174.494,0.069,6.263
4.8,0.12,0.1669,0.2961,0.2080,176.731,0.070,6.187
6.4,0.16,0.2168,0.2920,0.2106,178.968,0.071,6.103
7.9,0.20,0.2640,0.2873,0.2127,180.459,0.072,6.005
9.5,0.23,0.3085,0.2818,0.2142,181.951,0.072,5.889
11.1,0.27,0.3506,0.2755,0.2150,182.696,0.073,5.756
12.7,0.31,0.3904,0.2682,0.2149,182.696,0.073,5.605
14.3,0.35,0.4281,0.2601,0.2137,181.205,0.072,5.436
15.9,0.39,0.4637,0.2510,0.2116,179.714,0.072,5.249
17.5,0.43,0.4972,0.2412,0.2086,177.477,0.071,5.040
19.1,0.47,0.5286,0.2306,0.2046,173.748,0.069,4.822
20.7,0.51,0.5580,0.2193,0.1998,170.020,0.068,4.586
22.2,0.55,0.5850,0.2074,0.1941,164.800,0.066,4.337
23.8,0.59,0.6096,0.1950,0.1875,159.580,0.063,4.075
25.4,0.63,0.6316,0.1820,0.1802,152.868,0.061,3.803
27.0,0.66,0.6504,0.1685,0.1722,146.157,0.058,3.523
28.6,0.70,0.6658,0.1546,0.1634,138.700,0.055,3.229
30.2,0.74,0.6770,0.1403,0.1539,130.497,0.052,2.931
31.8,0.78,0.6833,0.1256,0.1437,122.295,0.049,2.624
33.4,0.82,0.6834,0.1106,0.1329,112.601,0.045,2.313
35.0,0.86,0.6756,0.0954,0.1214,102.907,0.041,1.993
36.5,0.90,0.6574,0.0800,0.1094,93.212,0.037,1.673
38.1,0.94,0.6250,0.0645,0.0969,82.027,0.033,1.348
39.7,0.98,0.5723,0.0491,0.0839,71.587,0.028,1.028
41.3,1.02,0.4877,0.0339,0.0706,59.656,0.024,0.707
42.9,1.06,0.3480,0.0188,0.0570,48.470,0.019,0.391
