# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.3051,0.1990,149.140,0.062,5.858
1.5,0.04,0.0589,0.3024,0.2022,151.377,0.063,5.805
3.1,0.08,0.1148,0.2993,0.2053,153.614,0.064,5.747
4.6,0.12,0.1678,0.2957,0.2082,155.851,0.065,5.676
6.1,0.16,0.2180,0.2915,0.2107,157.343,0.065,5.596
7.7,0.20,0.2653,0.2867,0.2128,158.834,0.066,5.502
9.2,0.24,0.3101,0.2812,0.2143,160.325,0.067,5.396
10.7,0.28,0.3523,0.2747,0.2150,161.071,0.067,5.276
12.3,0.32,0.3923,0.2674,0.2148,160.325,0.067,5.133
13.8,0.35,0.4300,0.2591,0.2136,159.580,0.066,4.973
15.3,0.39,0.4656,0.2499,0.2114,158.088,0.066,4.795
16.9,0.43,0.4992,0.2399,0.2082,155.851,0.065,4.604
18.4,0.47,0.5306,0.2292,0.2041,152.868,0.063,4.399
19.9,0.51,0.5599,0.2178,0.1992,149.140,0.062,4.181
21.5,0.55,0.5868,0.2058,0.1934,144.666,0.060,3.950
23.0,0.59,0.6112,0.1932,0.1867,139.446,0.058,3.710
24.5,0.63,0.6329,0.1800,0.1793,134.226,0.056,3.456
26.1,0.67,0.6513,0.1664,0.1711,128.260,0.053,3.194
27.6,0.71,0.6661,0.1524,0.1622,121.549,0.050,2.927
29.1,0.75,0.6765,0.1379,0.1525,114.092,0.047,2.647
30.7,0.79,0.6817,0.1231,0.1422,106.635,0.044,2.362
32.2,0.83,0.6803,0.1079,0.1312,98.432,0.041,2.073
33.7,0.87,0.6705,0.0926,0.1196,89.484,0.037,1.779
35.3,0.91,0.6496,0.0771,0.1075,80.536,0.033,1.481
36.8,0.95,0.6133,0.0615,0.0948,70.841,0.029,1.179
38.4,0.98,0.5546,0.0460,0.0817,61.147,0.025,0.885
39.9,1.02,0.4605,0.0307,0.0683,51.453,0.021,0.592
41.4,1.06,0.3032,0.0156,0.0546,41.013,0.017,0.298
