# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1068,0.0405,15.660,0.037,2.420
0.3,0.02,0.0521,0.1047,0.0406,15.660,0.037,2.375
0.7,0.04,0.1019,0.1026,0.0406,15.660,0.037,2.326
1.0,0.06,0.1495,0.1004,0.0406,15.660,0.037,2.277
1.4,0.08,0.1949,0.0980,0.0406,15.660,0.037,2.224
1.7,0.10,0.2381,0.0954,0.0405,15.660,0.037,2.166
2.1,0.12,0.2790,0.0928,0.0403,15.660,0.037,2.104
2.4,0.14,0.3176,0.0900,0.0401,15.660,0.037,2.042
2.7,0.16,0.3540,0.0871,0.0398,14.914,0.036,1.975
3.1,0.18,0.3880,0.0841,0.0394,14.914,0.036,1.908
3.4,0.20,0.4197,0.0809,0.0389,14.914,0.036,1.837
3.8,0.22,0.4489,0.0776,0.0384,14.914,0.035,1.761
4.1,0.24,0.4755,0.0742,0.0378,14.168,0.035,1.681
4.4,0.26,0.4995,0.0706,0.0371,14.168,0.034,1.601
4.8,0.28,0.5205,0.0669,0.0363,14.168,0.033,1.517
5.1,0.30,0.5383,0.0630,0.0354,13.423,0.033,1.428
5.5,0.32,0.5527,0.0590,0.0345,13.423,0.032,1.339
5.8,0.34,0.5634,0.0549,0.0334,12.677,0.031,1.246
6.2,0.36,0.5699,0.0507,0.0323,12.677,0.030,1.148
6.5,0.38,0.5717,0.0464,0.0311,11.931,0.028,1.050
6.8,0.40,0.5681,0.0420,0.0298,11.185,0.027,0.952
7.2,0.42,0.5584,0.0375,0.0285,11.185,0.026,0.850
7.5,0.44,0.5413,0.0329,0.0270,10.440,0.025,0.747
7.9,0.46,0.5154,0.0283,0.0255,9.694,0.023,0.641
8.2,0.48,0.4789,0.0236,0.0239,8.948,0.022,0.538
8.5,0.50,0.4293,0.0189,0.0222,8.203,0.020,0.427
8.9,0.52,0.3629,0.0142,0.0205,8.203,0.019,0.320
9.2,0.55,0.2748,0.0094,0.0187,7.457,0.017,0.214
9.6,0.57,0.1576,0.0047,0.0168,6.711,0.015,0.107
9.9,0.59,-0.0005,0.0000,0.0149,5.966,0.014,0.000
