# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1117,0.0392,793.425,0.505,35.612
1.3,0.02,0.0566,0.1096,0.0393,795.662,0.507,34.950
2.6,0.04,0.1107,0.1074,0.0394,797.153,0.508,34.242
3.9,0.06,0.1624,0.1050,0.0394,797.899,0.508,33.504
5.2,0.08,0.2116,0.1026,0.0393,797.153,0.507,32.712
6.4,0.10,0.2586,0.0999,0.0392,794.170,0.506,31.876
7.7,0.12,0.3032,0.0972,0.0390,790.442,0.503,31.009
9.0,0.14,0.3455,0.0943,0.0388,785.222,0.500,30.079
10.3,0.16,0.3856,0.0913,0.0384,778.511,0.495,29.109
11.6,0.18,0.4234,0.0881,0.0380,769.562,0.490,28.099
12.9,0.20,0.4590,0.0848,0.0375,759.122,0.483,27.032
14.2,0.22,0.4923,0.0813,0.0369,746.446,0.475,25.933
15.5,0.24,0.5232,0.0777,0.0362,732.277,0.466,24.777
16.8,0.26,0.5517,0.0739,0.0353,715.872,0.456,23.571
18.0,0.28,0.5777,0.0700,0.0344,697.229,0.444,22.326
19.3,0.30,0.6010,0.0659,0.0334,676.350,0.431,21.022
20.6,0.32,0.6213,0.0617,0.0323,653.233,0.416,19.683
21.9,0.34,0.6384,0.0574,0.0310,627.879,0.400,18.304
23.2,0.37,0.6520,0.0530,0.0297,601.034,0.383,16.894
24.5,0.39,0.6616,0.0484,0.0282,571.952,0.364,15.449
25.8,0.41,0.6664,0.0438,0.0267,540.632,0.344,13.976
27.1,0.43,0.6656,0.0391,0.0251,507.076,0.323,12.477
28.4,0.45,0.6578,0.0343,0.0233,472.028,0.301,10.956
29.6,0.47,0.6414,0.0295,0.0215,434.743,0.277,9.408
30.9,0.49,0.6135,0.0246,0.0195,395.967,0.252,7.851
32.2,0.51,0.5702,0.0197,0.0175,354.953,0.226,6.276
33.5,0.53,0.5047,0.0147,0.0154,311.703,0.199,4.697
34.8,0.55,0.4057,0.0098,0.0132,267.706,0.170,3.118
36.1,0.57,0.2520,0.0049,0.0109,221.473,0.141,1.548
37.4,0.59,-0.0053,-0.0001,0.0086,173.748,0.111,-0.027
