# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1133,0.0398,1172.986,0.659,46.435
1.5,0.02,0.0566,0.1113,0.0399,1176.714,0.661,45.576
2.9,0.04,0.1107,0.1090,0.0400,1178.951,0.662,44.665
4.4,0.06,0.1624,0.1067,0.0400,1179.697,0.663,43.704
5.8,0.08,0.2117,0.1042,0.0400,1178.206,0.662,42.681
7.3,0.10,0.2588,0.1015,0.0398,1173.732,0.659,41.591
8.8,0.12,0.3035,0.0988,0.0396,1168.512,0.656,40.461
10.2,0.14,0.3460,0.0958,0.0394,1160.309,0.652,39.256
11.7,0.16,0.3863,0.0927,0.0390,1149.124,0.646,37.988
13.1,0.18,0.4244,0.0895,0.0385,1136.447,0.638,36.676
14.6,0.20,0.4603,0.0861,0.0380,1120.041,0.629,35.288
16.1,0.22,0.4939,0.0826,0.0374,1101.399,0.619,33.851
17.5,0.24,0.5253,0.0789,0.0366,1079.028,0.606,32.343
19.0,0.26,0.5543,0.0751,0.0358,1054.420,0.592,30.773
20.5,0.28,0.5808,0.0711,0.0348,1026.083,0.576,29.145
21.9,0.30,0.6047,0.0670,0.0337,994.764,0.559,27.446
23.4,0.32,0.6257,0.0627,0.0326,959.716,0.539,25.697
24.8,0.35,0.6437,0.0583,0.0313,921.685,0.518,23.896
26.3,0.37,0.6582,0.0538,0.0299,880.672,0.495,22.054
27.8,0.39,0.6687,0.0492,0.0284,837.421,0.470,20.168
29.2,0.41,0.6747,0.0445,0.0268,789.696,0.444,18.242
30.7,0.43,0.6751,0.0397,0.0251,739.734,0.416,16.285
32.1,0.45,0.6687,0.0349,0.0233,686.790,0.386,14.292
33.6,0.47,0.6537,0.0300,0.0214,630.862,0.354,12.277
35.1,0.49,0.6274,0.0250,0.0194,571.952,0.321,10.235
36.5,0.51,0.5853,0.0200,0.0173,510.059,0.287,8.180
38.0,0.53,0.5207,0.0149,0.0151,445.929,0.251,6.116
39.4,0.55,0.4211,0.0099,0.0129,379.561,0.213,4.052
40.9,0.57,0.2630,0.0049,0.0105,310.957,0.175,1.997
42.4,0.59,-0.0107,-0.0001,0.0081,239.370,0.134,-0.062
