# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1073,0.0393,50.708,0.081,5.476
0.5,0.02,0.0540,0.1052,0.0394,51.453,0.081,5.369
1.0,0.04,0.1056,0.1031,0.0395,51.453,0.081,5.262
1.5,0.06,0.1548,0.1008,0.0395,51.453,0.082,5.147
2.1,0.08,0.2018,0.0984,0.0395,51.453,0.081,5.022
2.6,0.10,0.2464,0.0959,0.0394,50.708,0.081,4.893
3.1,0.12,0.2887,0.0933,0.0392,50.708,0.081,4.760
3.6,0.14,0.3287,0.0904,0.0390,50.708,0.080,4.617
4.1,0.16,0.3664,0.0875,0.0387,49.962,0.080,4.466
4.6,0.18,0.4018,0.0845,0.0383,49.962,0.079,4.310
5.1,0.20,0.4348,0.0813,0.0378,49.216,0.078,4.150
5.7,0.22,0.4653,0.0780,0.0373,48.470,0.077,3.981
6.2,0.24,0.4933,0.0745,0.0367,47.725,0.076,3.803
6.7,0.26,0.5186,0.0709,0.0359,46.233,0.074,3.616
7.2,0.28,0.5412,0.0672,0.0351,45.488,0.073,3.425
7.7,0.30,0.5606,0.0633,0.0342,44.742,0.071,3.229
8.2,0.32,0.5768,0.0592,0.0332,43.251,0.069,3.025
8.7,0.34,0.5893,0.0551,0.0322,41.759,0.066,2.811
9.2,0.36,0.5978,0.0509,0.0310,40.268,0.064,2.598
9.8,0.38,0.6018,0.0465,0.0297,38.776,0.061,2.375
10.3,0.40,0.6004,0.0421,0.0284,36.539,0.059,2.148
10.8,0.42,0.5930,0.0376,0.0269,35.048,0.056,1.922
11.3,0.45,0.5783,0.0330,0.0254,32.811,0.052,1.686
11.8,0.47,0.5546,0.0284,0.0238,30.574,0.049,1.450
12.3,0.49,0.5199,0.0237,0.0222,29.082,0.046,1.210
12.8,0.51,0.4711,0.0190,0.0204,26.099,0.042,0.970
13.4,0.53,0.4039,0.0142,0.0186,23.862,0.038,0.725
13.9,0.55,0.3116,0.0095,0.0166,21.625,0.034,0.485
14.4,0.57,0.1839,0.0048,0.0147,19.388,0.030,0.245
14.9,0.59,0.0024,0.0001,0.0126,16.405,0.026,0.004
