# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1076,0.0390,80.536,0.109,7.469
0.6,0.02,0.0547,0.1055,0.0391,80.536,0.110,7.331
1.2,0.04,0.1070,0.1034,0.0392,80.536,0.110,7.179
1.8,0.06,0.1568,0.1011,0.0392,80.536,0.110,7.024
2.4,0.08,0.2044,0.0987,0.0392,80.536,0.110,6.855
3.0,0.10,0.2496,0.0961,0.0390,80.536,0.110,6.677
3.6,0.12,0.2924,0.0935,0.0389,79.790,0.109,6.494
4.2,0.14,0.3329,0.0907,0.0387,79.790,0.109,6.299
4.8,0.16,0.3711,0.0877,0.0383,79.044,0.108,6.094
5.4,0.18,0.4070,0.0847,0.0380,78.298,0.107,5.881
6.0,0.20,0.4405,0.0815,0.0375,76.807,0.105,5.658
6.6,0.22,0.4715,0.0781,0.0370,76.061,0.104,5.427
7.2,0.24,0.5000,0.0746,0.0363,74.570,0.102,5.187
7.8,0.26,0.5258,0.0710,0.0356,73.079,0.100,4.933
8.4,0.28,0.5489,0.0672,0.0348,71.587,0.098,4.671
9.0,0.30,0.5689,0.0633,0.0338,69.350,0.095,4.399
9.6,0.32,0.5857,0.0593,0.0328,67.859,0.092,4.119
10.2,0.34,0.5989,0.0551,0.0317,65.622,0.089,3.830
10.8,0.36,0.6080,0.0509,0.0305,62.639,0.086,3.532
11.4,0.39,0.6127,0.0465,0.0292,60.402,0.082,3.229
12.0,0.41,0.6121,0.0421,0.0279,57.419,0.078,2.922
12.6,0.43,0.6054,0.0376,0.0264,54.436,0.074,2.607
13.2,0.45,0.5913,0.0330,0.0249,51.453,0.070,2.291
13.8,0.47,0.5682,0.0283,0.0232,47.725,0.065,1.966
14.4,0.49,0.5339,0.0236,0.0215,43.996,0.060,1.637
15.0,0.51,0.4849,0.0188,0.0197,40.268,0.055,1.308
15.6,0.53,0.4165,0.0141,0.0178,36.539,0.050,0.979
16.2,0.55,0.3213,0.0093,0.0159,32.811,0.045,0.645
16.8,0.57,0.1872,0.0046,0.0139,28.337,0.039,0.316
17.4,0.59,-0.0083,-0.0002,0.0118,23.862,0.033,-0.013
