# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1109,0.0389,641.302,0.437,30.822
1.2,0.02,0.0565,0.1089,0.0391,643.539,0.439,30.243
2.4,0.04,0.1106,0.1067,0.0391,644.285,0.440,29.634
3.6,0.06,0.1622,0.1044,0.0392,645.030,0.440,28.994
4.8,0.08,0.2114,0.1019,0.0391,644.285,0.439,28.308
6.0,0.10,0.2582,0.0993,0.0390,642.048,0.438,27.579
7.2,0.12,0.3027,0.0966,0.0388,639.810,0.436,26.827
8.4,0.14,0.3449,0.0937,0.0386,635.336,0.433,26.027
9.6,0.16,0.3849,0.0906,0.0382,629.371,0.429,25.186
10.8,0.18,0.4225,0.0875,0.0378,622.659,0.425,24.310
12.0,0.20,0.4579,0.0842,0.0373,614.457,0.419,23.389
13.2,0.22,0.4910,0.0807,0.0367,604.763,0.412,22.432
14.4,0.24,0.5217,0.0771,0.0360,592.831,0.404,21.436
15.6,0.26,0.5499,0.0734,0.0352,579.409,0.395,20.395
16.8,0.28,0.5757,0.0695,0.0343,565.241,0.385,19.314
18.0,0.30,0.5986,0.0655,0.0333,548.089,0.374,18.189
19.2,0.32,0.6185,0.0613,0.0322,529.447,0.361,17.028
20.4,0.34,0.6353,0.0570,0.0310,509.313,0.348,15.840
21.6,0.37,0.6484,0.0526,0.0296,487.688,0.333,14.617
22.8,0.39,0.6575,0.0481,0.0282,464.571,0.317,13.371
24.1,0.41,0.6617,0.0435,0.0267,439.963,0.300,12.095
25.3,0.43,0.6603,0.0389,0.0251,413.118,0.282,10.800
26.5,0.45,0.6519,0.0341,0.0234,384.781,0.262,9.484
27.7,0.47,0.6348,0.0293,0.0216,354.953,0.242,8.149
28.9,0.49,0.6063,0.0245,0.0197,323.634,0.221,6.797
30.1,0.51,0.5623,0.0196,0.0177,290.823,0.198,5.436
31.3,0.53,0.4965,0.0147,0.0156,256.521,0.175,4.075
32.5,0.55,0.3980,0.0097,0.0134,220.727,0.151,2.709
33.7,0.57,0.2468,0.0049,0.0112,184.188,0.126,1.348
34.9,0.59,-0.0020,0.0000,0.0089,146.157,0.100,-0.009
