# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1070,0.0398,29.828,0.057,3.790
0.4,0.02,0.0532,0.1050,0.0399,29.828,0.057,3.719
0.9,0.04,0.1041,0.1028,0.0400,29.828,0.057,3.643
1.3,0.06,0.1526,0.1006,0.0400,29.828,0.057,3.563
1.7,0.08,0.1989,0.0982,0.0399,29.828,0.057,3.479
2.1,0.10,0.2429,0.0956,0.0398,29.828,0.057,3.390
2.6,0.12,0.2846,0.0930,0.0397,29.828,0.057,3.296
3.0,0.14,0.3240,0.0902,0.0394,29.828,0.056,3.198
3.4,0.16,0.3611,0.0873,0.0391,29.082,0.056,3.096
3.8,0.18,0.3959,0.0843,0.0387,29.082,0.055,2.985
4.3,0.20,0.4283,0.0811,0.0383,28.337,0.055,2.874
4.7,0.22,0.4583,0.0778,0.0377,28.337,0.054,2.758
5.1,0.24,0.4857,0.0743,0.0371,27.591,0.053,2.633
5.6,0.26,0.5104,0.0707,0.0364,27.591,0.052,2.504
6.0,0.28,0.5323,0.0670,0.0356,26.845,0.051,2.375
6.4,0.30,0.5510,0.0631,0.0347,26.099,0.050,2.237
6.8,0.32,0.5663,0.0591,0.0337,25.354,0.048,2.095
7.3,0.34,0.5780,0.0550,0.0327,24.608,0.047,1.948
7.7,0.36,0.5856,0.0507,0.0315,23.862,0.045,1.797
8.1,0.38,0.5885,0.0464,0.0303,22.371,0.043,1.646
8.6,0.40,0.5861,0.0420,0.0290,21.625,0.041,1.490
9.0,0.42,0.5776,0.0375,0.0276,20.880,0.040,1.330
9.4,0.44,0.5616,0.0330,0.0261,19.388,0.037,1.170
9.8,0.47,0.5369,0.0283,0.0245,18.642,0.035,1.005
10.3,0.49,0.5012,0.0236,0.0229,17.151,0.033,0.836
10.7,0.51,0.4517,0.0189,0.0212,15.660,0.030,0.672
11.1,0.53,0.3845,0.0142,0.0194,14.168,0.028,0.503
11.6,0.55,0.2937,0.0094,0.0175,13.423,0.025,0.334
12.0,0.57,0.1704,0.0047,0.0156,11.931,0.022,0.165
12.4,0.59,-0.0009,0.0000,0.0136,10.440,0.019,0.000
