# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1087,0.0386,231.913,0.221,15.409
0.9,0.02,0.0559,0.1066,0.0387,232.658,0.222,15.115
1.7,0.04,0.1093,0.1045,0.0388,232.658,0.222,14.808
2.6,0.06,0.1603,0.1022,0.0388,232.658,0.222,14.483
3.4,0.08,0.2089,0.0997,0.0388,232.658,0.222,14.141
4.3,0.10,0.2551,0.0972,0.0387,231.913,0.222,13.776
5.2,0.12,0.2989,0.0945,0.0385,231.167,0.221,13.398
6.0,0.14,0.3404,0.0917,0.0383,229.676,0.219,12.993
6.9,0.16,0.3796,0.0887,0.0379,227.438,0.217,12.571
7.7,0.18,0.4164,0.0856,0.0376,225.201,0.215,12.135
8.6,0.20,0.4510,0.0823,0.0371,222.219,0.212,11.672
9.5,0.22,0.4830,0.0790,0.0365,219.236,0.209,11.196
10.3,0.24,0.5127,0.0755,0.0358,214.762,0.205,10.694
11.2,0.26,0.5398,0.0718,0.0351,210.287,0.201,10.173
12.0,0.28,0.5642,0.0680,0.0342,205.813,0.196,9.635
12.9,0.30,0.5856,0.0640,0.0333,199.848,0.191,9.070
13.8,0.32,0.6039,0.0599,0.0322,193.136,0.185,8.492
14.6,0.35,0.6188,0.0557,0.0311,186.425,0.178,7.896
15.5,0.37,0.6299,0.0514,0.0298,178.968,0.171,7.286
16.3,0.39,0.6366,0.0470,0.0285,170.765,0.163,6.663
17.2,0.41,0.6383,0.0425,0.0270,162.563,0.155,6.027
18.0,0.43,0.6340,0.0379,0.0255,152.868,0.146,5.378
18.9,0.45,0.6225,0.0333,0.0239,143.174,0.137,4.720
19.8,0.47,0.6021,0.0286,0.0222,132.735,0.127,4.052
20.6,0.49,0.5701,0.0238,0.0204,122.295,0.117,3.381
21.5,0.51,0.5230,0.0190,0.0185,111.109,0.106,2.700
22.3,0.53,0.4551,0.0142,0.0165,99.178,0.095,2.015
23.2,0.55,0.3571,0.0094,0.0145,86.501,0.083,1.334
24.1,0.57,0.2133,0.0046,0.0123,73.824,0.071,0.658
24.9,0.59,-0.0089,-0.0002,0.0101,61.147,0.058,-0.022
