# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1166,0.0416,1998.476,0.954,66.141
1.7,0.02,0.0565,0.1145,0.0417,2001.458,0.956,64.931
3.5,0.04,0.1107,0.1122,0.0417,2002.204,0.956,63.627
5.2,0.06,0.1627,0.1098,0.0417,1999.967,0.955,62.257
7.0,0.08,0.2124,0.1072,0.0416,1995.493,0.953,60.798
8.7,0.10,0.2599,0.1045,0.0414,1985.799,0.948,59.233
10.5,0.12,0.3051,0.1016,0.0411,1973.868,0.942,57.600
12.2,0.14,0.3482,0.0985,0.0408,1956.716,0.934,55.865
13.9,0.16,0.3891,0.0953,0.0403,1935.837,0.924,54.033
15.7,0.19,0.4279,0.0919,0.0398,1910.483,0.912,52.133
17.4,0.21,0.4644,0.0884,0.0392,1879.909,0.898,50.118
19.2,0.23,0.4988,0.0847,0.0384,1845.607,0.881,48.027
20.9,0.25,0.5309,0.0808,0.0376,1805.339,0.862,45.834
22.7,0.27,0.5607,0.0768,0.0367,1759.852,0.840,43.553
24.4,0.29,0.5880,0.0726,0.0356,1708.398,0.816,41.177
26.1,0.31,0.6125,0.0683,0.0344,1651.725,0.789,38.704
27.9,0.33,0.6342,0.0638,0.0331,1589.086,0.759,36.151
29.6,0.35,0.6527,0.0591,0.0317,1521.973,0.727,33.531
31.4,0.37,0.6675,0.0544,0.0302,1448.895,0.692,30.840
33.1,0.39,0.6781,0.0495,0.0286,1371.342,0.655,28.091
34.9,0.41,0.6835,0.0446,0.0269,1289.315,0.616,25.284
36.6,0.43,0.6827,0.0396,0.0250,1202.068,0.574,22.428
38.3,0.45,0.6738,0.0344,0.0231,1111.093,0.530,19.523
40.1,0.47,0.6544,0.0292,0.0212,1015.643,0.485,16.579
41.8,0.49,0.6209,0.0240,0.0191,916.465,0.438,13.607
43.6,0.51,0.5675,0.0187,0.0170,814.304,0.389,10.609
45.3,0.54,0.4850,0.0134,0.0148,709.906,0.339,7.598
47.1,0.56,0.3580,0.0081,0.0126,603.271,0.288,4.591
