# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1193,0.0456,2915.686,1.266,81.878
1.9,0.02,0.0527,0.1172,0.0455,2907.484,1.262,80.433
3.8,0.04,0.1038,0.1150,0.0453,2894.807,1.257,78.871
5.7,0.06,0.1534,0.1125,0.0450,2878.402,1.249,77.208
7.6,0.08,0.2012,0.1100,0.0447,2858.268,1.241,75.451
9.5,0.10,0.2474,0.1072,0.0443,2832.168,1.230,73.556
11.4,0.12,0.2920,0.1043,0.0439,2802.340,1.217,71.563
13.3,0.14,0.3347,0.1012,0.0433,2768.038,1.202,69.463
15.2,0.16,0.3757,0.0980,0.0427,2727.770,1.184,67.226
17.2,0.18,0.4149,0.0946,0.0420,2683.028,1.165,64.908
19.1,0.20,0.4521,0.0910,0.0412,2632.321,1.143,62.444
21.0,0.23,0.4874,0.0873,0.0403,2575.647,1.118,59.895
22.9,0.25,0.5206,0.0834,0.0393,2513.009,1.091,57.209
24.8,0.27,0.5517,0.0793,0.0382,2443.658,1.061,54.415
26.7,0.29,0.5801,0.0751,0.0371,2369.088,1.028,51.510
28.6,0.31,0.6054,0.0707,0.0358,2289.299,0.994,48.477
30.5,0.33,0.6269,0.0661,0.0345,2205.035,0.957,45.341
32.4,0.35,0.6443,0.0614,0.0331,2117.788,0.919,42.116
34.3,0.37,0.6574,0.0566,0.0317,2025.321,0.879,38.811
36.2,0.39,0.6654,0.0516,0.0302,1927.634,0.837,35.426
38.1,0.41,0.6674,0.0466,0.0286,1825.473,0.792,31.969
40.0,0.43,0.6620,0.0415,0.0269,1720.330,0.747,28.451
41.9,0.45,0.6471,0.0363,0.0252,1611.457,0.700,24.874
43.8,0.47,0.6206,0.0310,0.0235,1501.094,0.651,21.249
45.7,0.49,0.5792,0.0256,0.0217,1388.493,0.603,17.579
47.6,0.51,0.5186,0.0202,0.0200,1275.892,0.554,13.883
49.5,0.53,0.4332,0.0148,0.0182,1163.292,0.505,10.173
51.5,0.55,0.3157,0.0094,0.0165,1052.928,0.457,6.463
53.4,0.57,0.1564,0.0040,0.0148,945.547,0.410,2.771
